direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
long,2026-02-26 03:00,2026-02-26 17:00,0.0083,0.007885,1203614.457831,-518.9805,-5.195,stop_loss_5.00pct
long,2026-02-27 08:00,2026-02-27 14:00,0.00853,0.0081035,1109208.497128,-491.5274,-5.195,stop_loss_5.00pct
short,2026-02-28 04:30,2026-02-28 07:00,0.00796,0.007164,1125760.177877,879.0791,9.81,take_profit_10.00pct
short,2026-02-28 15:00,2026-03-01 02:00,0.00742,0.007791000000000001,1324836.925935,-511.6666,-5.205,stop_loss_5.00pct
long,2026-03-02 07:30,2026-03-02 16:30,0.00832,0.009152,1118906.823683,911.3809,9.79,take_profit_10.00pct
long,2026-03-03 01:00,2026-03-03 02:30,0.00918,0.010098000000000001,1112251.092006,999.6045,9.79,take_profit_10.00pct
long,2026-03-03 11:30,2026-03-03 15:00,0.00977,0.009281499999999998,1146249.69099,-581.7808,-5.195,stop_loss_5.00pct
long,2026-03-03 16:00,2026-03-05 07:30,0.00954,0.009063,1111788.433145,-551.0057,-5.195,stop_loss_5.00pct
short,2026-03-06 08:30,2026-03-07 14:30,0.00878,0.007902,1144123.065308,985.4538,9.81,take_profit_10.00pct
short,2026-03-08 02:30,2026-03-09 14:00,0.00769,0.0080745,1433006.950515,-573.5818,-5.205,stop_loss_5.00pct
short,2026-03-10 17:30,2026-03-17 20:30,0.00807,0.007263000000000001,1293159.280952,1023.7515,9.81,take_profit_10.00pct
short,2026-03-18 23:00,2026-03-19 16:00,0.00673,0.0070665,1701053.102352,-595.8729,-5.205,stop_loss_5.00pct
long,2026-03-20 11:30,2026-03-22 17:30,0.00756,0.008316,1434042.621207,1061.3694,9.79,take_profit_10.00pct
long,2026-03-23 05:30,2026-03-23 14:00,0.00885,0.009735,1343596.479743,1164.1121,9.79,take_profit_10.00pct
long,2026-03-23 14:00,2026-03-24 06:30,0.00992,0.01014,1314706.254913,262.8624,2.0155,end_of_data
