direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
long,2026-02-25 15:00,2026-02-25 17:00,0.3659,0.384195,27302.541678,479.0205,4.795,take_profit_5.00pct
long,2026-02-25 18:00,2026-02-25 20:00,0.35508,0.319572,29454.070856,-1065.7264,-10.19,stop_loss_10.00pct
long,2026-02-26 00:30,2026-02-26 03:30,0.35547,0.3732435,26397.255067,449.9356,4.795,take_profit_5.00pct
short,2026-02-28 17:00,2026-02-28 23:00,0.29741,0.2825395,33030.276277,472.0208,4.805,take_profit_5.00pct
short,2026-03-01 03:00,2026-03-01 03:30,0.28188,0.267786,36488.079124,494.2067,4.805,take_profit_5.00pct
long,2026-03-03 07:00,2026-03-03 11:30,0.4097,0.36873,26284.322694,-1097.3292,-10.19,stop_loss_10.00pct
long,2026-03-03 12:00,2026-03-03 17:00,0.39388,0.41357400000000005,24529.517731,463.2779,4.795,take_profit_5.00pct
long,2026-03-03 17:00,2026-03-04 05:00,0.40577,0.42605850000000006,24927.518901,485.0065,4.795,take_profit_5.00pct
long,2026-03-05 20:30,2026-03-07 02:00,0.48666,0.437994,21759.022819,-1079.0442,-10.19,stop_loss_10.00pct
short,2026-03-07 22:30,2026-03-08 05:00,0.40868,0.388246,23247.263559,456.5082,4.805,take_profit_5.00pct
short,2026-03-08 14:00,2026-03-08 15:00,0.3785,0.41635000000000005,26280.694072,-1015.6135,-10.21,stop_loss_10.00pct
long,2026-03-09 05:30,2026-03-09 07:30,0.45675,0.4795875,19535.189046,427.8433,4.795,take_profit_5.00pct
long,2026-03-09 22:00,2026-03-10 03:30,0.46152,0.484596,20240.055481,447.9101,4.795,take_profit_5.00pct
long,2026-03-10 10:30,2026-03-11 05:00,0.4832,0.50736,20238.641111,468.918,4.795,take_profit_5.00pct
long,2026-03-11 06:00,2026-03-11 10:30,0.49539,0.5201595,20666.507472,490.9112,4.795,take_profit_5.00pct
long,2026-03-11 15:00,2026-03-11 17:30,0.50852,0.533946,21077.171871,513.9359,4.795,take_profit_5.00pct
long,2026-03-12 01:00,2026-03-12 04:30,0.50959,0.5350695,22019.402416,538.0406,4.795,take_profit_5.00pct
long,2026-03-13 00:30,2026-03-13 10:30,0.56386,0.592053,20833.449713,563.2758,4.795,take_profit_5.00pct
long,2026-03-13 15:00,2026-03-13 19:30,0.5795,0.608475,21221.94016,589.6946,4.795,take_profit_5.00pct
long,2026-03-13 22:00,2026-03-15 09:00,0.60794,0.547146,21177.946994,-1311.9545,-10.19,stop_loss_10.00pct
long,2026-03-16 09:30,2026-03-16 16:30,0.63802,0.574218,18105.080827,-1177.088,-10.19,stop_loss_10.00pct
long,2026-03-17 18:30,2026-03-18 01:00,0.72451,0.7607355,14304.75952,496.951,4.795,take_profit_5.00pct
long,2026-03-18 01:00,2026-03-18 01:30,0.73,0.7665,14863.056731,520.259,4.795,take_profit_5.00pct
long,2026-03-18 22:00,2026-03-18 23:30,0.88968,0.9341640000000001,12767.42214,544.6602,4.795,take_profit_5.00pct
long,2026-03-18 23:30,2026-03-19 05:00,0.884,0.9282,13452.123043,570.2059,4.795,take_profit_5.00pct
long,2026-03-19 05:00,2026-03-19 05:30,0.91547,0.9612435,13598.939111,596.9497,4.795,take_profit_5.00pct
long,2026-03-20 15:30,2026-03-21 15:00,0.91583,0.9616215000000001,14231.160963,624.9479,4.795,take_profit_5.00pct
long,2026-03-21 15:00,2026-03-21 16:00,0.94095,0.846855,14500.891402,-1390.3861,-10.19,stop_loss_10.00pct
long,2026-03-21 16:00,2026-03-21 18:30,0.93278,0.9794190000000002,13124.18083,587.0026,4.795,take_profit_5.00pct
long,2026-03-21 23:30,2026-03-22 02:30,0.93846,0.985383,13656.572516,614.5343,4.795,take_profit_5.00pct
long,2026-03-22 18:30,2026-03-22 19:00,3.1255,2.8129500000000003,4292.833343,-1367.2178,-10.19,stop_loss_10.00pct
long,2026-03-22 21:00,2026-03-22 21:30,2.25832,2.371236,5330.503535,577.2213,4.795,take_profit_5.00pct
long,2026-03-22 21:30,2026-03-22 23:30,2.38185,2.5009425000000003,5291.092559,604.2941,4.795,take_profit_5.00pct
long,2026-03-22 23:30,2026-03-23 01:30,2.36941,2.4878804999999997,5568.338135,632.6368,4.795,take_profit_5.00pct
long,2026-03-23 04:30,2026-03-23 05:30,2.56609,2.6943945,5382.697612,662.3087,4.795,take_profit_5.00pct
long,2026-03-23 12:00,2026-03-23 14:00,2.46307,2.2167630000000003,5870.852411,-1473.5067,-10.19,stop_loss_10.00pct
long,2026-03-23 15:30,2026-03-23 20:00,2.38849,2.5079145,5431.811304,622.095,4.795,take_profit_5.00pct
long,2026-03-23 20:00,2026-03-24 01:00,2.43932,2.561286,5568.078835,651.2725,4.795,take_profit_5.00pct
long,2026-03-24 01:00,2026-03-24 01:30,2.40606,2.165454,5909.813138,-1448.9533,-10.19,stop_loss_10.00pct
