direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
long,2026-02-25 21:30,2026-02-27 06:30,0.0574,0.053382,174041.811847,-718.5807,-7.193,stop_loss_7.00pct
short,2026-02-27 23:00,2026-02-28 15:30,0.0522,0.05585400000000001,177435.783155,-667.523,-7.207,stop_loss_7.00pct
long,2026-03-01 02:00,2026-03-01 20:30,0.0568,0.052824,151162.504543,-617.5932,-7.193,stop_loss_7.00pct
short,2026-03-02 04:30,2026-03-06 04:00,0.0543,0.05810100000000001,146601.632864,-573.711,-7.207,stop_loss_7.00pct
long,2026-03-06 04:30,2026-03-07 06:30,0.058,0.06264,127230.533279,575.0006,7.792,take_profit_8.00pct
long,2026-03-07 09:00,2026-03-07 11:30,0.0619,0.066852,128375.074984,619.1848,7.792,take_profit_8.00pct
long,2026-03-07 17:00,2026-03-09 09:30,0.064,0.06912,133703.693175,666.7643,7.792,take_profit_8.00pct
long,2026-03-09 18:30,2026-03-10 13:30,0.0692,0.064356,133158.624798,-662.8045,-7.193,stop_loss_7.00pct
short,2026-03-11 14:00,2026-03-12 07:30,0.0629,0.057868,135822.266325,667.0547,7.808,take_profit_8.00pct
short,2026-03-12 07:30,2026-03-20 00:30,0.0585,0.05382000000000001,157283.161322,718.4192,7.808,take_profit_8.00pct
short,2026-03-20 07:00,2026-03-21 06:30,0.0548,0.05863600000000001,180831.470868,-714.1823,-7.207,stop_loss_7.00pct
long,2026-03-22 02:00,2026-03-22 07:30,0.0683,0.07376400000000001,134497.61201,715.7877,7.792,take_profit_8.00pct
long,2026-03-22 18:30,2026-03-22 19:00,0.1728,0.16070399999999999,57245.790561,-711.5368,-7.193,stop_loss_7.00pct
long,2026-03-23 01:00,2026-03-23 01:30,0.113,0.12204000000000001,81162.436198,714.632,7.792,take_profit_8.00pct
long,2026-03-23 01:30,2026-03-23 02:00,0.1169,0.108717,84483.330259,-710.388,-7.193,stop_loss_7.00pct
long,2026-03-23 06:30,2026-03-23 07:00,0.1417,0.13178099999999998,64619.249308,-658.6305,-7.193,stop_loss_7.00pct
long,2026-03-23 11:30,2026-03-23 14:30,0.1116,0.10378799999999999,76070.064866,-610.6439,-7.193,stop_loss_7.00pct
long,2026-03-24 04:30,2026-03-24 05:00,0.1191,0.128628,66086.452878,613.3003,7.792,take_profit_8.00pct
