direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
long,2026-03-06 13:30,2026-03-07 08:30,0.012458,0.013703800000000002,801894.365067,978.021,9.79,take_profit_10.00pct
long,2026-03-07 08:30,2026-03-08 00:30,0.012564,0.013820400000000002,872099.090974,1072.6955,9.79,take_profit_10.00pct
long,2026-03-09 10:00,2026-03-09 13:30,0.024285,0.026713500000000005,494861.796054,1176.5347,9.79,take_profit_10.00pct
long,2026-03-09 19:30,2026-03-09 21:30,0.026957,0.0242613,488966.098832,-1343.1499,-10.19,stop_loss_10.00pct
long,2026-03-09 21:30,2026-03-10 00:30,0.026185,0.028803500000000003,451635.336721,1157.7724,9.79,take_profit_10.00pct
long,2026-03-10 04:00,2026-03-10 14:00,0.025883,0.0232947,501134.328628,-1321.7306,-10.19,stop_loss_10.00pct
short,2026-03-11 19:30,2026-03-12 04:00,0.019358,0.0212938,601171.612883,-1188.1867,-10.21,stop_loss_10.00pct
long,2026-03-12 08:30,2026-03-12 12:30,0.02294,0.020645999999999998,455049.872382,-1063.7182,-10.19,stop_loss_10.00pct
long,2026-03-12 16:00,2026-03-13 00:30,0.021097,0.023206700000000004,443937.56153,916.907,9.79,take_profit_10.00pct
long,2026-03-13 12:00,2026-03-15 01:00,0.02285,0.025135,449556.896056,1005.6655,9.79,take_profit_10.00pct
long,2026-03-15 13:30,2026-03-17 05:00,0.027399,0.030138900000000003,411210.721344,1103.0161,9.79,take_profit_10.00pct
long,2026-03-17 15:00,2026-03-17 20:30,0.030195,0.0332145,409253.480032,1209.7903,9.79,take_profit_10.00pct
long,2026-03-18 02:00,2026-03-18 13:30,0.034313,0.030881700000000005,394999.911253,-1381.1151,-10.19,stop_loss_10.00pct
long,2026-03-18 13:30,2026-03-18 18:00,0.033184,0.036502400000000004,366452.035371,1190.4977,9.79,take_profit_10.00pct
long,2026-03-19 05:00,2026-03-19 10:30,0.036257,0.0326313,367859.757034,-1359.0904,-10.19,stop_loss_10.00pct
short,2026-03-20 10:30,2026-03-20 16:00,0.028568,0.0257112,418875.05095,1173.906,9.81,take_profit_10.00pct
short,2026-03-20 21:00,2026-03-21 07:00,0.027881,0.0306691,470829.172911,-1340.2859,-10.21,stop_loss_10.00pct
short,2026-03-22 02:30,2026-03-22 12:30,0.029619,0.0266571,397552.765303,1155.1388,9.81,take_profit_10.00pct
short,2026-03-22 15:00,2026-03-23 05:00,0.028343,0.025508700000000002,455750.058841,1267.1895,9.81,take_profit_10.00pct
short,2026-03-23 21:30,2026-03-24 03:30,0.024019,0.0264209,589963.315736,-1446.7906,-10.21,stop_loss_10.00pct
