direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
long,2026-02-15 07:00,2026-02-15 08:30,0.11505,0.1138995,86831.812256,-119.7801,-1.199,stop_loss_1.00pct
long,2026-02-15 11:00,2026-02-15 12:00,0.11362,0.1124838,86783.57402,-118.2256,-1.199,stop_loss_1.00pct
short,2026-02-16 02:30,2026-02-16 04:45,0.10209,0.1031109,95331.393509,-116.8859,-1.201,stop_loss_1.00pct
short,2026-02-16 05:15,2026-02-16 09:00,0.10196,0.10297959999999999,94212.245586,-115.3666,-1.201,stop_loss_1.00pct
short,2026-02-16 10:15,2026-02-19 16:00,0.10281,0.0956133,92218.883576,645.3733,6.807,take_profit_7.00pct
short,2026-02-19 18:00,2026-02-19 18:15,0.09684,0.09780839999999999,104463.757621,-121.4964,-1.201,stop_loss_1.00pct
short,2026-02-19 19:30,2026-02-20 00:00,0.09747,0.0984447,102439.5107,-119.9172,-1.201,stop_loss_1.00pct
long,2026-02-20 17:45,2026-02-21 00:30,0.1002,0.099198,98353.263962,-118.1614,-1.199,stop_loss_1.00pct
long,2026-02-21 01:15,2026-02-21 20:45,0.09999,0.0989901,97280.716059,-116.6279,-1.199,stop_loss_1.00pct
short,2026-02-22 07:45,2026-02-24 13:30,0.09736,0.0905448,98611.959873,653.5306,6.807,take_profit_7.00pct
short,2026-02-24 17:45,2026-02-25 01:00,0.09163,0.0925463,111798.936927,-123.0321,-1.201,stop_loss_1.00pct
long,2026-02-26 01:15,2026-02-26 02:00,0.10117,0.10015829999999999,99940.529857,-121.2307,-1.199,stop_loss_1.00pct
long,2026-02-26 03:00,2026-02-26 05:00,0.10139,0.1003761,98429.460123,-119.6574,-1.199,stop_loss_1.00pct
short,2026-02-26 23:15,2026-02-27 04:00,0.09683,0.0977983,101727.20746,-118.3014,-1.201,stop_loss_1.00pct
long,2026-02-27 08:00,2026-02-27 09:45,0.09845,0.0974655,98752.789293,-116.5693,-1.199,stop_loss_1.00pct
short,2026-02-27 23:15,2026-02-28 20:15,0.09296,0.0938896,103227.594018,-115.2484,-1.201,stop_loss_1.00pct
long,2026-03-01 07:00,2026-03-01 08:45,0.09479,0.0938421,99918.851621,-113.561,-1.199,stop_loss_1.00pct
short,2026-03-01 22:30,2026-03-02 00:45,0.09248,0.09340480000000001,101085.523529,-112.2742,-1.201,stop_loss_1.00pct
short,2026-03-02 03:00,2026-03-02 14:45,0.09271,0.0936371,99524.096067,-110.8148,-1.201,stop_loss_1.00pct
long,2026-03-02 18:00,2026-03-02 21:00,0.09544,0.0944856,95420.662889,-109.1923,-1.199,stop_loss_1.00pct
long,2026-03-02 21:45,2026-03-02 23:30,0.09433,0.0933867,95290.554469,-107.7752,-1.199,stop_loss_1.00pct
short,2026-03-03 07:45,2026-03-03 16:15,0.0914,0.092314,97068.947612,-106.5539,-1.201,stop_loss_1.00pct
short,2026-03-03 16:45,2026-03-03 16:45,0.09041,0.09131410000000001,96856.346877,-105.169,-1.201,stop_loss_1.00pct
short,2026-03-03 17:15,2026-03-04 08:45,0.0902,0.091102,95819.975079,-103.802,-1.201,stop_loss_1.00pct
long,2026-03-04 23:45,2026-03-05 00:00,0.09943,0.0984357,85795.23908,-102.2821,-1.199,stop_loss_1.00pct
short,2026-03-05 20:00,2026-03-08 22:00,0.09393,0.0873549,89640.265538,573.1433,6.807,take_profit_7.00pct
short,2026-03-08 22:15,2026-03-08 22:15,0.08825,0.08913249999999999,101802.383817,-107.8986,-1.201,stop_loss_1.00pct
long,2026-03-09 10:15,2026-03-09 11:15,0.09066,0.0897534,97808.136389,-106.3188,-1.199,stop_loss_1.00pct
long,2026-03-09 11:45,2026-03-10 13:15,0.09044,0.09677080000000002,96773.617019,594.5373,6.793,take_profit_7.00pct
short,2026-03-11 11:30,2026-03-11 12:30,0.09205,0.09297050000000001,101438.311009,-112.1421,-1.201,stop_loss_1.00pct
short,2026-03-11 12:45,2026-03-11 13:00,0.09244,0.0933644,99697.416071,-110.6845,-1.201,stop_loss_1.00pct
long,2026-03-11 21:00,2026-03-12 00:15,0.09365,0.09271349999999999,97130.157897,-109.0639,-1.199,stop_loss_1.00pct
short,2026-03-12 09:30,2026-03-12 09:30,0.09247,0.0933947,97092.983698,-107.828,-1.201,stop_loss_1.00pct
long,2026-03-12 14:00,2026-03-12 14:30,0.09488,0.0939312,93396.814946,-106.2493,-1.199,stop_loss_1.00pct
long,2026-03-12 15:15,2026-03-13 11:45,0.09378,0.1003446,93265.998068,594.1487,6.793,take_profit_7.00pct
long,2026-03-13 15:15,2026-03-13 16:15,0.0986,0.09761399999999999,94637.86421,-111.8822,-1.199,stop_loss_1.00pct
short,2026-03-14 12:15,2026-03-14 23:30,0.09504,0.0959904,96908.583669,-110.6144,-1.201,stop_loss_1.00pct
long,2026-03-15 05:30,2026-03-15 13:30,0.09611,0.0951489,94584.099585,-108.9948,-1.199,stop_loss_1.00pct
short,2026-03-15 18:30,2026-03-15 19:45,0.09524,0.09519,94209.381554,-13.2298,-0.1474,end_of_data
