direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
short,2026-02-23 16:45,2026-02-26 14:45,0.22939,0.20645100000000002,43550.28554,980.019,9.81,take_profit_10.00pct
short,2026-02-26 18:15,2026-02-27 04:30,0.19501,0.2067106,56197.369268,-680.1186,-6.206,stop_loss_6.00pct
short,2026-02-27 14:00,2026-02-28 07:00,0.1973,0.17757,52045.876689,1007.3547,9.81,take_profit_10.00pct
short,2026-02-28 13:00,2026-02-28 18:45,0.17785,0.18852100000000002,63338.376013,-699.0892,-6.206,stop_loss_6.00pct
short,2026-03-01 23:00,2026-03-08 22:15,0.18866,0.169794,55947.606161,1035.4529,9.81,take_profit_10.00pct
short,2026-03-08 22:15,2026-03-13 00:30,0.16908,0.17922480000000002,68482.007007,-718.5889,-6.206,stop_loss_6.00pct
long,2026-03-13 07:15,2026-03-13 20:45,0.1815,0.19965000000000002,59776.79625,1062.1649,9.79,take_profit_10.00pct
long,2026-03-13 22:00,2026-03-17 12:15,0.18723,0.20595300000000002,63556.811366,1164.9847,9.79,take_profit_10.00pct
long,2026-03-17 16:00,2026-03-18 01:30,0.20376,0.224136,64054.092005,1277.7577,9.79,take_profit_10.00pct
long,2026-03-18 07:15,2026-03-18 19:45,0.21281,0.20004139999999998,67266.998996,-886.6767,-6.194,stop_loss_6.00pct
long,2026-03-19 05:15,2026-03-19 15:30,0.20623,0.19385619999999998,65048.659094,-830.9242,-6.194,stop_loss_6.00pct
short,2026-03-19 20:15,2026-03-20 02:15,0.18289,0.19386340000000002,68737.912053,-780.1858,-6.206,stop_loss_6.00pct
long,2026-03-20 15:45,2026-03-20 22:15,0.20552,0.22607200000000002,57315.587769,1153.213,9.79,take_profit_10.00pct
long,2026-03-21 04:45,2026-03-21 19:45,0.22109,0.24319900000000003,58436.744748,1264.8465,9.79,take_profit_10.00pct
long,2026-03-22 00:15,2026-03-22 07:30,0.23408,0.25748800000000005,60536.746932,1387.2862,9.79,take_profit_10.00pct
long,2026-03-22 09:45,2026-03-22 11:15,0.24556,0.270116,63292.760378,1521.5785,9.79,take_profit_10.00pct
long,2026-03-22 14:30,2026-03-22 17:00,0.25531,0.280841,66768.575285,1668.8705,9.79,take_profit_10.00pct
long,2026-03-22 21:30,2026-03-23 00:45,0.28485,0.26775899999999997,65637.492919,-1158.0823,-6.194,stop_loss_6.00pct
long,2026-03-23 01:00,2026-03-23 05:00,0.27478,0.2582932,63764.53468,-1085.2643,-6.194,stop_loss_6.00pct
long,2026-03-24 01:15,2026-03-24 04:15,0.36117,0.33949979999999996,45462.022289,-1017.025,-6.194,stop_loss_6.00pct
