direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
long,2026-02-15 01:15,2026-02-15 19:00,9.112,8.6564,1096.356453,-518.9805,-5.195,stop_loss_5.00pct
short,2026-02-15 22:15,2026-02-24 13:30,8.704,8.09472,1087.034522,644.0476,6.807,take_profit_7.00pct
long,2026-02-25 07:30,2026-02-25 14:45,8.463,9.05541,1192.897376,685.7867,6.793,take_profit_7.00pct
long,2026-02-25 21:45,2026-02-26 15:30,9.515,9.039250000000001,1131.94912,-559.5273,-5.195,stop_loss_5.00pct
long,2026-02-27 06:45,2026-02-27 13:30,9.203,8.742849999999999,1108.416565,-529.9294,-5.195,stop_loss_5.00pct
short,2026-02-27 23:45,2026-03-01 02:00,8.691,9.12555,1111.627829,-502.8632,-5.205,stop_loss_5.00pct
long,2026-03-01 09:15,2026-03-04 16:00,8.913,9.53691,1026.493428,621.5008,6.793,take_profit_7.00pct
long,2026-03-04 22:15,2026-03-06 13:45,9.473,8.99935,1030.38806,-507.077,-5.195,stop_loss_5.00pct
short,2026-03-06 19:30,2026-03-13 00:15,8.798,9.2379,1050.754184,-481.1781,-5.205,stop_loss_5.00pct
long,2026-03-13 07:15,2026-03-15 19:45,9.198,9.197,951.793204,-18.46,-0.2109,end_of_data
