direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
short,2026-02-28 21:30,2026-03-01 19:30,0.4067,0.36603,24563.560364,980.019,9.81,take_profit_10.00pct
short,2026-03-02 03:00,2026-03-03 15:30,0.3888,0.34992,28186.854375,1075.0827,9.81,take_profit_10.00pct
short,2026-03-05 00:00,2026-03-05 16:30,0.3076,0.27684,39083.542114,1179.3678,9.81,take_profit_10.00pct
short,2026-03-05 17:00,2026-03-05 17:30,0.2841,0.30398700000000006,46421.203306,-950.4782,-7.207,stop_loss_7.00pct
short,2026-03-06 09:30,2026-03-10 01:30,0.3024,0.323568,40428.399131,-881.0952,-7.207,stop_loss_7.00pct
long,2026-03-10 11:00,2026-03-10 13:00,0.3229,0.35519000000000006,35097.888534,1109.5113,9.79,take_profit_10.00pct
long,2026-03-10 16:30,2026-03-11 01:30,0.3388,0.315084,36688.833771,-894.1026,-7.193,stop_loss_7.00pct
short,2026-03-11 13:00,2026-03-14 03:30,0.3085,0.330095,37356.687793,-830.5735,-7.207,stop_loss_7.00pct
long,2026-03-14 14:00,2026-03-15 05:00,0.3469,0.38159000000000004,30796.398825,1045.8922,9.79,take_profit_10.00pct
long,2026-03-15 13:00,2026-03-15 14:30,0.4306,0.400458,27211.875978,-842.835,-7.193,stop_loss_7.00pct
long,2026-03-15 15:00,2026-03-16 02:00,0.4046,0.376278,26850.529373,-781.4277,-7.193,stop_loss_7.00pct
short,2026-03-17 05:00,2026-03-18 12:00,0.3395,0.30555000000000004,29667.788534,988.0842,9.81,take_profit_10.00pct
short,2026-03-18 20:00,2026-03-20 00:30,0.3126,0.334482,35346.251192,-796.3186,-7.207,stop_loss_7.00pct
long,2026-03-21 08:30,2026-03-22 00:00,0.3526,0.327918,29048.969403,-736.755,-7.193,stop_loss_7.00pct
short,2026-03-22 08:00,2026-03-24 06:30,0.3304,0.3221,28742.147974,219.8056,2.3146,end_of_data
