direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
short,2026-02-25 11:30,2026-03-01 13:00,4.55e-07,4.9595e-07,21956043956.043957,-919.9791,-9.209,stop_loss_9.00pct
long,2026-03-01 21:30,2026-03-04 13:00,4.76e-07,5.236000000000001e-07,19035611090.54622,887.0671,9.79,take_profit_10.00pct
long,2026-03-05 01:00,2026-03-07 11:00,5.19e-07,5.709000000000001e-07,19148497017.71431,972.937,9.79,take_profit_10.00pct
long,2026-03-07 20:30,2026-03-08 21:30,5.36e-07,5.896e-07,20335999987.89735,1067.1194,9.79,take_profit_10.00pct
long,2026-03-09 18:30,2026-03-10 17:30,6.83e-07,7.513e-07,17504023683.582172,1170.4188,9.79,take_profit_10.00pct
long,2026-03-11 16:00,2026-03-11 19:30,8.78e-07,7.989800000000001e-07,14934557295.368586,-1205.1737,-9.191,stop_loss_9.00pct
long,2026-03-11 20:30,2026-03-12 05:00,8.34e-07,7.5894e-07,14263141806.146816,-1093.3118,-9.191,stop_loss_9.00pct
long,2026-03-13 04:00,2026-03-14 22:00,8.71e-07,7.9261e-07,12389605470.419209,-991.8326,-9.191,stop_loss_9.00pct
long,2026-03-15 15:00,2026-03-16 11:00,9.19e-07,1.0109000000000001e-06,10652572586.106607,958.413,9.79,take_profit_10.00pct
long,2026-03-17 03:00,2026-03-17 06:00,1.069e-06,9.727900000000002e-07,10044320954.38146,-986.8725,-9.191,stop_loss_9.00pct
short,2026-03-19 11:00,2026-03-24 06:30,8.98e-07,9.3e-07,10847167127.554747,-366.938,-3.767,end_of_data
