direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
long,2026-02-25 22:00,2026-02-28 06:30,0.0031,0.002821,3222580.645161,-918.1809,-9.191,stop_loss_9.00pct
short,2026-02-28 19:30,2026-03-04 19:00,0.00278,0.0030302000000000003,3259981.036295,-834.5884,-9.209,stop_loss_9.00pct
long,2026-03-05 02:30,2026-03-09 02:30,0.00297,0.0032670000000000004,2767653.442733,804.7312,9.79,take_profit_10.00pct
long,2026-03-09 09:30,2026-03-15 18:00,0.00334,0.003674,2699292.599085,882.6309,9.79,take_profit_10.00pct
long,2026-03-15 18:00,2026-03-15 19:30,0.0041,0.004510000000000001,2411797.537214,968.0714,9.79,take_profit_10.00pct
long,2026-03-16 01:00,2026-03-16 09:00,0.00411,0.0037401,2638828.436673,-996.8177,-9.191,stop_loss_9.00pct
long,2026-03-16 09:30,2026-03-17 10:30,0.00396,0.0036036,2484575.35397,-904.295,-9.191,stop_loss_9.00pct
short,2026-03-18 06:00,2026-03-18 21:30,0.00346,0.0037714000000000003,2579678.840464,-821.9667,-9.209,stop_loss_9.00pct
short,2026-03-19 20:00,2026-03-21 11:30,0.00347,0.0037823,2333031.234989,-745.5255,-9.209,stop_loss_9.00pct
long,2026-03-21 17:30,2026-03-24 06:30,0.00374,0.00347,1963300.212677,-544.2465,-7.412,end_of_data
