direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
long,2026-02-26 01:30,2026-03-04 10:30,182.6,195.382,54.709748,678.6207,6.793,take_profit_7.00pct
long,2026-03-06 07:30,2026-03-10 03:00,187.7,200.839,56.781844,723.9947,6.793,take_profit_7.00pct
long,2026-03-10 07:30,2026-03-12 10:30,198.6,212.502,57.253599,772.4025,6.793,take_profit_7.00pct
long,2026-03-12 15:00,2026-03-13 01:30,210.1,224.80700000000002,57.738336,824.0469,6.793,take_profit_7.00pct
long,2026-03-13 20:30,2026-03-14 22:00,231.5,247.705,55.904606,879.1444,6.793,take_profit_7.00pct
long,2026-03-15 08:00,2026-03-15 15:30,258.6,276.70200000000006,53.392265,937.9258,6.793,take_profit_7.00pct
long,2026-03-16 04:30,2026-03-16 14:00,279.5,299.065,52.702756,1000.6374,6.793,take_profit_7.00pct
long,2026-03-16 17:30,2026-03-19 03:30,287.2,258.48,54.719104,-1601.3918,-10.19,stop_loss_10.00pct
short,2026-03-19 18:30,2026-03-19 23:00,249.0,273.90000000000003,56.625787,-1439.5917,-10.21,stop_loss_10.00pct
long,2026-03-20 12:00,2026-03-24 01:00,279.6,299.172,45.23451,859.1494,6.793,take_profit_7.00pct
