direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
long,2026-02-15 04:00,2026-02-15 04:15,1.5268,1.542068,6543.096673,79.8201,0.799,take_profit_1.00pct
short,2026-02-16 04:45,2026-02-16 05:15,1.4658,1.451142,6862.97604,80.5786,0.801,take_profit_1.00pct
short,2026-02-16 07:45,2026-02-17 14:30,1.4596,1.445004,6940.386785,81.1428,0.801,take_profit_1.00pct
short,2026-02-17 14:45,2026-02-18 19:30,1.4353,1.420947,7107.308597,81.711,0.801,take_profit_1.00pct
short,2026-02-19 02:45,2026-02-19 05:15,1.4208,1.406592,7230.115548,82.2831,0.801,take_profit_1.00pct
short,2026-02-19 07:15,2026-02-19 10:00,1.4246,1.410354,7261.319984,82.8593,0.801,take_profit_1.00pct
short,2026-02-19 15:15,2026-02-23 00:30,1.3909,1.376991,7489.329478,83.4394,0.801,take_profit_1.00pct
short,2026-02-23 08:30,2026-02-23 17:30,1.3657,1.3520429999999999,7680.930994,84.0237,0.801,take_profit_1.00pct
short,2026-02-23 22:45,2026-02-24 01:00,1.3613,1.3476869999999999,7759.71297,84.612,0.801,take_profit_1.00pct
short,2026-02-24 01:15,2026-02-24 01:15,1.3449,1.331451,7909.332566,85.2045,0.801,take_profit_1.00pct
short,2026-02-24 01:45,2026-02-24 03:00,1.3517,1.338183,7924.645532,85.8011,0.801,take_profit_1.00pct
short,2026-02-24 05:30,2026-02-24 14:30,1.3287,1.315413,8118.271156,86.4018,0.801,take_profit_1.00pct
long,2026-02-25 07:30,2026-02-25 09:00,1.366,1.37966,7951.88549,86.7896,0.799,take_profit_1.00pct
long,2026-02-26 00:30,2026-02-26 04:30,1.4407,1.4551070000000002,7592.223291,87.3955,0.799,take_profit_1.00pct
long,2026-02-26 06:15,2026-02-28 06:30,1.4511,1.3205010000000001,7590.439068,-1012.3414,-9.191,stop_loss_9.00pct
short,2026-02-28 11:45,2026-03-01 01:45,1.2962,1.4128580000000002,7708.796919,-920.1764,-9.209,stop_loss_9.00pct
short,2026-03-01 22:30,2026-03-01 22:45,1.3576,1.3440239999999999,6675.673388,72.5938,0.801,take_profit_1.00pct
short,2026-03-02 02:15,2026-03-02 07:00,1.3588,1.345212,6716.479604,73.1021,0.801,take_profit_1.00pct
short,2026-03-02 10:00,2026-03-02 13:45,1.3534,1.339866,6790.494395,73.6139,0.801,take_profit_1.00pct
long,2026-03-02 18:15,2026-03-04 09:15,1.404,1.41804,6591.599138,73.9443,0.799,take_profit_1.00pct
long,2026-03-04 13:15,2026-03-04 14:30,1.3987,1.412687,6662.773243,74.4606,0.799,take_profit_1.00pct
long,2026-03-05 01:15,2026-03-05 10:30,1.4323,1.446623,6551.901019,74.9805,0.799,take_profit_1.00pct
long,2026-03-05 15:00,2026-03-13 14:15,1.4375,1.451875,6573.780188,75.504,0.799,take_profit_1.00pct
short,2026-03-14 08:45,2026-03-15 19:45,1.3925,1.4123,6833.599771,-154.4722,-1.6233,end_of_data
