direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-22 13:40:00+00:00,2026-03-22 13:41:00+00:00,0.00796,0.00794,0.6595,False,-45.1256,-0.4513,9954.87
long,2026-03-22 16:58:00+00:00,2026-03-22 17:00:00+00:00,0.00827,0.00825,0.7638,False,-43.9844,-0.4418,9910.89
long,2026-03-22 17:15:00+00:00,2026-03-22 17:16:00+00:00,0.00838,0.00832,0.6664,False,-90.7828,-0.916,9820.11
long,2026-03-22 17:45:00+00:00,2026-03-22 17:47:00+00:00,0.00848,0.00851,0.7679,False,15.1007,0.1538,9835.21
long,2026-03-22 18:05:00+00:00,2026-03-22 18:06:00+00:00,0.00857,0.00856,0.8034,False,-31.1467,-0.3167,9804.06
long,2026-03-22 18:12:00+00:00,2026-03-22 18:13:00+00:00,0.00874,0.00871,0.7271,False,-53.2605,-0.5432,9750.8
long,2026-03-22 18:54:00+00:00,2026-03-22 18:56:00+00:00,0.00881,0.00881,0.7061,False,-19.5016,-0.2,9731.3
long,2026-03-22 19:01:00+00:00,2026-03-22 19:02:00+00:00,0.00881,0.00872,0.6583,False,-118.8743,-1.2216,9612.42
long,2026-03-22 19:18:00+00:00,2026-03-22 19:19:00+00:00,0.0089,0.009,0.6958,False,88.7799,0.9236,9701.2
long,2026-03-22 19:34:00+00:00,2026-03-22 19:35:00+00:00,0.0088,0.0088,0.966,False,-19.4024,-0.2,9681.8
long,2026-03-22 19:37:00+00:00,2026-03-22 19:38:00+00:00,0.00881,0.00884,0.7844,False,13.6051,0.1405,9695.41
long,2026-03-22 21:57:00+00:00,2026-03-22 21:58:00+00:00,0.00897,0.00905,0.739,False,67.0788,0.6919,9762.49
long,2026-03-22 23:03:00+00:00,2026-03-22 23:04:00+00:00,0.00916,0.00917,0.672,False,-8.8672,-0.0908,9753.62
long,2026-03-22 23:07:00+00:00,2026-03-22 23:08:00+00:00,0.00919,0.00937,0.7559,False,171.5321,1.7587,9925.15
long,2026-03-22 23:14:00+00:00,2026-03-22 23:15:00+00:00,0.00935,0.00933,0.6875,False,-41.0806,-0.4139,9884.07
long,2026-03-22 23:22:00+00:00,2026-03-22 23:23:00+00:00,0.00939,0.00922,0.6543,False,-198.713,-2.0104,9685.36
long,2026-03-22 23:29:00+00:00,2026-03-22 23:31:00+00:00,0.0091,0.009,0.6857,False,-125.8032,-1.2989,9559.55
short,2026-03-23 00:17:00+00:00,2026-03-23 00:18:00+00:00,0.00855,0.00865,0.7723,False,-130.9268,-1.3696,9428.63
long,2026-03-23 05:31:00+00:00,2026-03-23 05:33:00+00:00,0.00883,0.0089,0.8026,False,55.8884,0.5928,9484.52
long,2026-03-23 06:04:00+00:00,2026-03-23 06:05:00+00:00,0.00894,0.00888,0.741,False,-82.6235,-0.8711,9401.89
long,2026-03-23 06:38:00+00:00,2026-03-23 06:39:00+00:00,0.00888,0.00888,0.6606,False,-18.8038,-0.2,9383.09
long,2026-03-23 08:28:00+00:00,2026-03-23 08:29:00+00:00,0.00939,0.00944,0.7141,False,31.197,0.3325,9414.29
long,2026-03-23 08:33:00+00:00,2026-03-23 08:34:00+00:00,0.00943,0.0095,0.9227,False,51.0548,0.5423,9465.34
long,2026-03-23 08:36:00+00:00,2026-03-23 08:37:00+00:00,0.00938,0.0094,0.699,False,1.2513,0.0132,9466.59
long,2026-03-23 08:47:00+00:00,2026-03-23 08:48:00+00:00,0.00951,0.00946,0.7928,False,-68.705,-0.7258,9397.89
long,2026-03-23 09:02:00+00:00,2026-03-23 09:03:00+00:00,0.00934,0.0094,0.8538,False,41.5761,0.4424,9439.46
long,2026-03-23 09:05:00+00:00,2026-03-23 09:06:00+00:00,0.00926,0.00924,0.7441,False,-39.2665,-0.416,9400.2
