feature,importance
atr7,0.019483643
stoch_d,0.019378236
dist_high_5,0.019040518
atr14,0.018844187
mom_5,0.0171317
volatility_5,0.016864205
pos_20,0.01684743
vol_up,0.01644412
pos_5,0.016439669
ma20_dist,0.016180022
bb_squeeze,0.01601705
stoch_delta,0.016000686
open_pos,0.015980646
atr_ratio,0.015616719
ma10_dist,0.015598741
close_pos,0.015511922
rsi14,0.015259067
vol_expand,0.015055875
volume_zscore,0.014980971
ma10_slope,0.014850049
volume_ratio10,0.014702634
stoch_k,0.014610808
hl_range,0.014561028
lower_wick,0.014549938
volume_ratio5,0.014315217
ma50_slope,0.014304591
bb_width,0.014248533
macd_fast_delta,0.014151567
cci14,0.014071716
return_5,0.014001359
pos_50,0.013942843
dist_low_20,0.0138954
mom_10,0.013853806
return_1,0.01361744
bb_upper_dist,0.013597864
macd_signal,0.013593394
volatility_20,0.013331487
return_2,0.013271224
dist_high_20,0.0132624395
volatility_10,0.013153567
macd_hist_delta,0.013137077
volume_delta,0.013109754
pos_10,0.013076652
range_atr,0.012781878
day_of_week,0.012770659
ma5_dist,0.012687208
mom_3,0.012610655
ema5_dist,0.012541433
ma100_dist,0.01222849
macd_hist,0.012227175
body_size,0.012226032
bb_pct,0.012077983
macd_fast_hist,0.012040817
upper_wick,0.011870802
rsi14_norm,0.011856481
ma100_slope,0.01185063
rsi7,0.011847845
dist_ma100,0.011841801
return_3,0.011823384
dist_low_5,0.011394459
ma20_slope,0.011264911
cci14_delta,0.0112580815
ma5_slope,0.010915046
hour,0.010868629
rsi14_delta,0.010848397
ma50_dist,0.010767467
return_10,0.010616496
bb_lower_dist,0.010561445
ema20_dist,0.010555773
consec_up,0.0105502745
williams_r,0.010452506
ema10_dist,0.010421968
macd_line,0.008878865
minute,0.0054766047
consec_down,0.0
gap,0.0
is_bullish,0.0
above_ma100,0.0
rsi_os,0.0
rsi_ob,0.0
macd_cross_down,0.0
macd_cross_up,0.0
stoch_os,0.0
stoch_ob,0.0
roc5,0.0
roc10,0.0
