feature,importance
atr14,0.03480279
consec_down,0.021377323
above_ma100,0.020695286
atr7,0.019919155
mom_5,0.01615706
day_of_week,0.015766514
volatility_20,0.015695479
ma100_dist,0.014604888
mom_10,0.014208556
ma10_slope,0.014074044
macd_hist,0.014014127
macd_signal,0.013917173
bb_lower_dist,0.013887273
volatility_10,0.01387734
bb_width,0.013709733
upper_wick,0.013699313
rsi14,0.013614839
dist_high_20,0.013538297
rsi7,0.013387685
hour,0.013304537
ma50_dist,0.013204708
return_1,0.013190169
ma20_dist,0.013089204
return_5,0.013082023
vol_up,0.013076142
macd_line,0.012998375
bb_squeeze,0.012830993
williams_r,0.012804656
ema10_dist,0.012478832
bb_pct,0.012416871
return_10,0.012346367
stoch_d,0.012287719
ma10_dist,0.012194769
pos_20,0.012147531
dist_low_5,0.012132581
pos_10,0.012084443
ma100_slope,0.012082958
dist_low_20,0.011956557
pos_50,0.011909354
ema20_dist,0.011847919
cci14,0.011654521
ma50_slope,0.01162612
dist_ma100,0.011484295
consec_up,0.011459333
volatility_5,0.011438225
ma5_dist,0.011404107
macd_fast_hist,0.011350859
pos_5,0.011338388
stoch_delta,0.011332969
mom_3,0.011322107
volume_ratio10,0.011268395
volume_zscore,0.011191908
macd_hist_delta,0.011109289
atr_ratio,0.011056013
volume_delta,0.011044654
bb_upper_dist,0.010889817
vol_expand,0.010824975
volume_ratio5,0.010744512
stoch_k,0.010717922
ma5_slope,0.010604782
lower_wick,0.010575905
is_bullish,0.010567286
roc10,0.010300187
cci14_delta,0.010249645
dist_high_5,0.010234597
ma20_slope,0.01019039
minute,0.010185158
rsi14_delta,0.009847872
ema5_dist,0.00981488
return_2,0.0097607365
body_size,0.009689273
rsi14_norm,0.009539897
roc5,0.009537691
return_3,0.009535295
close_pos,0.009210481
open_pos,0.009199504
macd_cross_down,0.009147791
range_atr,0.0090464
macd_fast_delta,0.008998834
rsi_ob,0.00821438
hl_range,0.007876955
gap,0.0
rsi_os,0.0
macd_cross_up,0.0
stoch_os,0.0
stoch_ob,0.0
