feature,importance
atr7,2
return_2,1
return_5,1
lower_wick,1
close_pos,1
return_3,1
macd_fast_hist,1
atr14,1
bb_width,1
volatility_5,1
ma50_slope,1
volume_ratio10,1
cci14,1
pos_50,1
ma20_slope,1
ema5_dist,1
body_size,0
upper_wick,0
hl_range,0
return_10,0
is_bullish,0
return_1,0
ma10_slope,0
ma5_slope,0
ma100_dist,0
ma50_dist,0
ma20_dist,0
ma10_dist,0
ma5_dist,0
consec_down,0
consec_up,0
open_pos,0
gap,0
ema20_dist,0
above_ma100,0
macd_line,0
macd_hist,0
macd_signal,0
macd_fast_delta,0
macd_cross_down,0
macd_cross_up,0
macd_hist_delta,0
rsi14,0
rsi7,0
rsi14_delta,0
rsi14_norm,0
bb_lower_dist,0
bb_upper_dist,0
rsi_os,0
rsi_ob,0
bb_squeeze,0
dist_ma100,0
ema10_dist,0
ma100_slope,0
range_atr,0
atr_ratio,0
bb_pct,0
vol_expand,0
volume_ratio5,0
volume_delta,0
volume_zscore,0
volatility_10,0
vol_up,0
pos_5,0
pos_10,0
pos_20,0
dist_high_20,0
dist_low_20,0
dist_high_5,0
volatility_20,0
dist_low_5,0
stoch_k,0
stoch_delta,0
stoch_d,0
stoch_ob,0
stoch_os,0
williams_r,0
cci14_delta,0
mom_3,0
mom_5,0
mom_10,0
roc5,0
roc10,0
hour,0
minute,0
day_of_week,0
