direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
short,2026-03-22 22:30:00+00:00,2026-03-22 23:00:00+00:00,0.002289,0.00231,0.716,False,-111.7431,-1.1174,9888.26
short,2026-03-22 23:45:00+00:00,2026-03-23 00:30:00+00:00,0.0023,0.002266,0.674,False,126.3977,1.2783,10014.65
long,2026-03-23 16:30:00+00:00,2026-03-23 17:00:00+00:00,0.002354,0.002364,0.55,False,22.5138,0.2248,10037.17
short,2026-03-23 23:00:00+00:00,2026-03-23 23:30:00+00:00,0.002342,0.002306,0.6773,False,134.2118,1.3371,10171.38
short,2026-03-24 21:15:00+00:00,2026-03-24 21:45:00+00:00,0.002322,0.002327,0.5843,False,-42.245,-0.4153,10129.14
long,2026-03-25 00:45:00+00:00,2026-03-25 01:15:00+00:00,0.002335,0.00236,0.5934,False,88.1907,0.8707,10217.33
long,2026-03-25 04:15:00+00:00,2026-03-25 04:45:00+00:00,0.00234,0.00234,0.8642,False,-20.4347,-0.2,10196.89
long,2026-03-25 05:15:00+00:00,2026-03-25 06:00:00+00:00,0.002329,0.002314,0.6725,False,-86.0672,-0.8441,10110.82
short,2026-03-25 07:00:00+00:00,2026-03-25 07:45:00+00:00,0.002317,0.002309,0.6297,False,14.6884,0.1453,10125.51
short,2026-03-25 20:00:00+00:00,2026-03-25 20:30:00+00:00,0.002322,0.002309,0.5897,False,36.4379,0.3599,10161.95
short,2026-03-26 11:45:00+00:00,2026-03-26 12:15:00+00:00,0.00207,0.002059,0.5598,False,33.6768,0.3314,10195.63
short,2026-03-26 14:45:00+00:00,2026-03-26 15:15:00+00:00,0.002091,0.002079,0.5866,False,38.1202,0.3739,10233.75
short,2026-03-26 20:15:00+00:00,2026-03-26 20:45:00+00:00,0.00202,0.002007,0.6915,False,45.3933,0.4436,10279.14
short,2026-03-27 00:45:00+00:00,2026-03-27 01:15:00+00:00,0.001913,0.001936,0.5912,False,-144.1444,-1.4023,10135.0
short,2026-03-27 02:00:00+00:00,2026-03-27 02:30:00+00:00,0.001919,0.001932,0.6111,False,-88.9281,-0.8774,10046.07
short,2026-03-27 03:00:00+00:00,2026-03-27 03:30:00+00:00,0.001913,0.001892,0.5527,False,90.1888,0.8978,10136.26
short,2026-03-27 06:00:00+00:00,2026-03-27 06:30:00+00:00,0.001871,0.001841,0.5911,False,142.2543,1.4034,10278.51
short,2026-03-27 10:30:00+00:00,2026-03-27 11:00:00+00:00,0.001776,0.001748,0.5614,False,141.4916,1.3766,10420.0
short,2026-03-27 12:15:00+00:00,2026-03-27 12:45:00+00:00,0.00175,0.001747,0.6568,False,-2.9771,-0.0286,10417.03
short,2026-03-27 13:15:00+00:00,2026-03-27 13:45:00+00:00,0.001749,0.001806,0.673,False,-360.3255,-3.459,10056.7
short,2026-03-27 14:45:00+00:00,2026-03-27 15:15:00+00:00,0.001854,0.001846,0.5798,False,23.2812,0.2315,10079.98
short,2026-03-27 16:00:00+00:00,2026-03-27 16:30:00+00:00,0.001895,0.001847,0.5792,False,235.1641,2.333,10315.15
short,2026-03-27 17:00:00+00:00,2026-03-27 17:30:00+00:00,0.001845,0.00188,0.5848,False,-216.3106,-2.097,10098.84
short,2026-03-28 02:15:00+00:00,2026-03-28 02:45:00+00:00,0.001843,0.001809,0.5537,False,166.1075,1.6448,10264.94
short,2026-03-28 08:00:00+00:00,2026-03-28 08:30:00+00:00,0.001814,0.001848,0.6386,False,-212.9268,-2.0743,10052.02
