direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
short,2026-03-17 15:30:00+00:00,2026-03-17 16:00:00+00:00,0.003204,0.003184,0.7567,False,42.422,0.4242,10042.42
short,2026-03-17 23:30:00+00:00,2026-03-18 00:00:00+00:00,0.003084,0.003042,0.6782,False,116.6797,1.1619,10159.1
short,2026-03-18 05:45:00+00:00,2026-03-18 06:15:00+00:00,0.00305,0.003025,0.6188,False,62.9531,0.6197,10222.05
short,2026-03-18 15:15:00+00:00,2026-03-18 15:45:00+00:00,0.002919,0.002923,0.6516,False,-34.4517,-0.337,10187.6
short,2026-03-19 17:00:00+00:00,2026-03-19 17:30:00+00:00,0.002674,0.002685,0.6544,False,-62.2838,-0.6114,10125.32
short,2026-03-20 06:45:00+00:00,2026-03-20 07:15:00+00:00,0.002671,0.002657,0.5814,False,32.821,0.3241,10158.14
long,2026-03-20 09:00:00+00:00,2026-03-20 09:30:00+00:00,0.002699,0.002689,0.682,False,-57.953,-0.5705,10100.19
long,2026-03-20 12:15:00+00:00,2026-03-20 13:00:00+00:00,0.002683,0.002668,0.7239,False,-76.6681,-0.7591,10023.52
short,2026-03-20 15:00:00+00:00,2026-03-20 15:30:00+00:00,0.00266,0.002657,0.584,False,-8.7423,-0.0872,10014.78
short,2026-03-20 18:00:00+00:00,2026-03-20 18:30:00+00:00,0.002614,0.002565,0.6173,False,167.6996,1.6745,10182.48
