feature,importance
atr14,0.051655434
atr7,0.044071466
volatility_20,0.04071519
macd_cross_up,0.032756362
roc10,0.029548563
rsi14_norm,0.023559203
return_1,0.022564672
volume_zscore,0.01815848
volatility_5,0.017542621
rsi14_delta,0.01746893
bb_width,0.016209107
dist_low_20,0.015802491
stoch_d,0.015708342
consec_down,0.015432105
ma10_slope,0.015106297
ma5_dist,0.014727482
ema5_dist,0.014631175
cci14_delta,0.014522975
bb_pct,0.014168649
stoch_delta,0.01405644
macd_fast_hist,0.0140440045
consec_up,0.013691239
mom_5,0.013568687
volatility_10,0.013382694
ma100_slope,0.013356253
macd_signal,0.013116594
dist_low_5,0.013015628
dist_ma100,0.012697063
ma100_dist,0.012505345
close_pos,0.012465916
ma20_dist,0.01246471
cci14,0.012441667
mom_3,0.012408888
ma5_slope,0.012080254
volume_delta,0.0118979
minute,0.011603101
return_10,0.011546962
ema20_dist,0.011181142
vol_up,0.011112925
return_2,0.010869866
pos_10,0.010533491
return_5,0.010531545
upper_wick,0.010529263
hour,0.010387833
atr_ratio,0.010147712
williams_r,0.010134892
macd_fast_delta,0.009890504
rsi7,0.009857468
volume_ratio10,0.009710693
hl_range,0.009556385
return_3,0.009223921
rsi14,0.00917936
dist_high_20,0.008917455
ma50_dist,0.008807152
ma50_slope,0.008754307
dist_high_5,0.008739294
mom_10,0.008726609
ma20_slope,0.008718092
pos_50,0.008398044
bb_lower_dist,0.008157537
range_atr,0.008112156
pos_20,0.0075962306
macd_hist_delta,0.007540737
day_of_week,0.0074659972
ma10_dist,0.0074289483
macd_line,0.0072404533
lower_wick,0.007211449
macd_cross_down,0.006950191
volume_ratio5,0.006770801
ema10_dist,0.00668297
bb_upper_dist,0.006623764
macd_hist,0.0062127826
open_pos,0.006007348
stoch_k,0.005437493
body_size,0.0053542526
pos_5,0.004642844
roc5,0.0020848005
vol_expand,0.0018986036
stoch_ob,0.00087897293
bb_squeeze,0.00069180527
stoch_os,0.0004090632
gap,0.0
is_bullish,0.0
rsi_os,0.0
above_ma100,0.0
rsi_ob,0.0
