feature,importance
volatility_10,0.021663409
roc10,0.021410331
atr7,0.01888983
hour,0.017328966
dist_low_20,0.016038805
macd_signal,0.016007792
bb_upper_dist,0.015811803
bb_pct,0.015481524
atr14,0.015414834
bb_width,0.0153872995
dist_ma100,0.014526013
ma20_dist,0.01440921
macd_fast_hist,0.014242561
ma100_slope,0.0142295
day_of_week,0.014042141
atr_ratio,0.013946312
ema5_dist,0.013889216
ma100_dist,0.013782108
williams_r,0.013524473
ma20_slope,0.013507559
macd_line,0.013377589
minute,0.013367623
rsi14,0.013345073
ma50_slope,0.013342701
rsi7,0.013277332
stoch_delta,0.013199837
ema10_dist,0.0131752025
dist_low_5,0.013097188
mom_5,0.012977749
ma50_dist,0.012966841
macd_hist,0.012912479
ma10_dist,0.012756764
pos_10,0.012736823
ema20_dist,0.012637638
dist_high_20,0.012572111
vol_expand,0.012488312
pos_20,0.012445075
vol_up,0.012351982
stoch_k,0.0122669395
pos_50,0.012235694
lower_wick,0.012162765
return_5,0.012096378
upper_wick,0.012030548
volume_zscore,0.01197372
pos_5,0.011939181
stoch_d,0.011896632
volume_ratio5,0.011824961
return_10,0.011742694
dist_high_5,0.011737426
body_size,0.011730032
consec_up,0.011703952
cci14_delta,0.0116952285
volatility_5,0.011610161
ma5_slope,0.011553344
bb_lower_dist,0.011528499
macd_hist_delta,0.011413369
return_3,0.011260743
return_1,0.011068678
macd_cross_up,0.010973033
volatility_20,0.010904651
cci14,0.010739714
macd_fast_delta,0.0107336175
volume_delta,0.0107331425
volume_ratio10,0.010632073
consec_down,0.010588143
ma10_slope,0.010580788
hl_range,0.010543892
ma5_dist,0.010414621
return_2,0.010223626
bb_squeeze,0.010102475
range_atr,0.009950839
open_pos,0.009851285
rsi14_delta,0.009823586
is_bullish,0.0097978655
close_pos,0.009648953
mom_3,0.009562443
roc5,0.0090776
rsi14_norm,0.009065468
mom_10,0.008962907
above_ma100,0.005056276
gap,0.0
macd_cross_down,0.0
rsi_os,0.0
rsi_ob,0.0
stoch_os,0.0
stoch_ob,0.0
