feature,importance
bb_width,8
vol_up,7
dist_high_5,7
macd_hist,5
volatility_5,5
volume_ratio5,4
macd_signal,4
volatility_10,4
mom_3,4
return_3,3
range_atr,3
ma100_slope,3
atr7,3
ema5_dist,3
ma10_dist,3
ma10_slope,3
hl_range,3
ma50_slope,2
close_pos,2
ma100_dist,2
consec_up,2
return_5,2
dist_low_20,2
pos_10,2
volume_ratio10,2
rsi14,2
hour,2
volatility_20,2
cci14_delta,2
atr14,2
bb_squeeze,2
volume_zscore,1
pos_5,1
dist_high_20,1
ma50_dist,1
consec_down,1
pos_20,1
pos_50,1
dist_low_5,1
day_of_week,1
dist_ma100,1
ma20_slope,1
rsi14_norm,1
macd_hist_delta,1
ma5_dist,0
upper_wick,0
return_2,0
return_1,0
return_10,0
body_size,0
is_bullish,0
lower_wick,0
open_pos,0
gap,0
ma5_slope,0
ma20_dist,0
rsi7,0
rsi14_delta,0
rsi_ob,0
rsi_os,0
bb_upper_dist,0
bb_lower_dist,0
ema20_dist,0
ema10_dist,0
above_ma100,0
macd_line,0
macd_cross_up,0
macd_cross_down,0
macd_fast_hist,0
macd_fast_delta,0
atr_ratio,0
bb_pct,0
vol_expand,0
volume_delta,0
stoch_ob,0
stoch_k,0
stoch_delta,0
stoch_d,0
cci14,0
williams_r,0
stoch_os,0
mom_5,0
roc5,0
mom_10,0
roc10,0
minute,0
