feature,importance
minute,127
cci14_delta,104
macd_fast_hist,95
atr7,88
stoch_delta,69
macd_hist,63
atr14,61
volume_zscore,61
hour,59
atr_ratio,55
dist_low_5,54
bb_width,52
ma5_slope,51
macd_signal,51
stoch_d,50
ma100_slope,49
ma20_slope,42
volatility_10,41
return_1,40
range_atr,38
return_5,37
return_3,37
volatility_5,36
macd_hist_delta,35
bb_pct,34
vol_up,33
rsi7,31
return_10,31
ma100_dist,30
macd_line,30
ma10_slope,30
ma5_dist,29
rsi14_delta,28
bb_lower_dist,27
volume_delta,27
pos_50,26
volatility_20,26
consec_up,25
return_2,24
rsi14_norm,24
volume_ratio5,24
ma50_slope,22
pos_10,22
rsi14,19
volume_ratio10,19
ma20_dist,19
ma50_dist,18
dist_high_5,17
williams_r,17
bb_upper_dist,17
ema10_dist,17
body_size,15
open_pos,15
pos_5,15
day_of_week,15
ema5_dist,14
ma10_dist,13
dist_high_20,11
hl_range,11
mom_5,7
dist_low_20,7
macd_fast_delta,7
mom_3,6
cci14,5
roc5,4
ema20_dist,4
close_pos,4
upper_wick,3
consec_down,3
lower_wick,3
dist_ma100,3
pos_20,3
stoch_k,3
vol_expand,2
mom_10,2
gap,0
is_bullish,0
above_ma100,0
bb_squeeze,0
rsi_ob,0
rsi_os,0
macd_cross_up,0
macd_cross_down,0
stoch_ob,0
stoch_os,0
roc10,0
