direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
short,2026-03-21 23:53:00+00:00,2026-03-21 23:54:00+00:00,0.04035,0.0403,0.5562,False,-7.6084,-0.0761,9992.39
short,2026-03-21 23:56:00+00:00,2026-03-21 23:57:00+00:00,0.04027,0.03991,0.5562,False,69.3438,0.694,10061.74
short,2026-03-21 23:59:00+00:00,2026-03-22 00:00:00+00:00,0.04005,0.04014,0.5562,False,-42.7341,-0.4247,10019.0
short,2026-03-22 00:04:00+00:00,2026-03-22 00:05:00+00:00,0.03996,0.04002,0.5562,False,-35.0815,-0.3502,9983.92
short,2026-03-22 00:07:00+00:00,2026-03-22 00:08:00+00:00,0.04005,0.0403,0.5562,False,-82.2894,-0.8242,9901.63
short,2026-03-22 00:10:00+00:00,2026-03-22 00:11:00+00:00,0.04025,0.04034,0.5562,False,-41.9436,-0.4236,9859.69
short,2026-03-23 14:46:00+00:00,2026-03-23 14:48:00+00:00,0.04181,0.04163,0.5562,False,22.7285,0.2305,9882.42
short,2026-03-23 14:51:00+00:00,2026-03-23 14:52:00+00:00,0.04176,0.04163,0.5562,False,10.9994,0.1113,9893.41
short,2026-03-23 14:56:00+00:00,2026-03-23 14:59:00+00:00,0.04186,0.04201,0.5562,False,-55.2386,-0.5583,9838.18
short,2026-03-24 01:05:00+00:00,2026-03-24 01:06:00+00:00,0.04178,0.04152,0.5562,False,41.5473,0.4223,9879.72
short,2026-03-24 01:08:00+00:00,2026-03-24 01:09:00+00:00,0.04155,0.0416,0.5562,False,-31.6484,-0.3203,9848.07
short,2026-03-24 01:12:00+00:00,2026-03-24 01:18:00+00:00,0.04154,0.04152,0.5562,False,-14.9547,-0.1519,9833.12
short,2026-03-24 13:07:00+00:00,2026-03-24 13:08:00+00:00,0.05994,0.05992,0.5562,False,-16.3853,-0.1666,9816.73
short,2026-03-24 13:10:00+00:00,2026-03-24 13:11:00+00:00,0.05986,0.05983,0.5562,False,-14.7136,-0.1499,9802.02
short,2026-03-24 13:13:00+00:00,2026-03-24 13:14:00+00:00,0.05996,0.06021,0.5562,False,-60.473,-0.6169,9741.55
short,2026-03-24 13:16:00+00:00,2026-03-24 13:17:00+00:00,0.0604,0.061,0.5562,False,-116.2534,-1.1934,9625.29
short,2026-03-24 13:23:00+00:00,2026-03-24 13:24:00+00:00,0.06075,0.06082,0.5562,False,-30.3415,-0.3152,9594.95
short,2026-03-24 13:26:00+00:00,2026-03-24 13:27:00+00:00,0.06087,0.06069,0.5562,False,9.1835,0.0957,9604.14
short,2026-03-24 13:29:00+00:00,2026-03-24 13:30:00+00:00,0.06068,0.06058,0.5562,False,-3.3808,-0.0352,9600.76
short,2026-03-24 13:32:00+00:00,2026-03-24 13:33:00+00:00,0.06092,0.06131,0.5562,False,-80.664,-0.8402,9520.09
short,2026-03-24 13:36:00+00:00,2026-03-24 13:37:00+00:00,0.06108,0.06117,0.5562,False,-33.0678,-0.3473,9487.02
short,2026-03-24 13:39:00+00:00,2026-03-24 13:40:00+00:00,0.06118,0.06087,0.5562,False,29.0968,0.3067,9516.12
short,2026-03-24 13:42:00+00:00,2026-03-24 13:43:00+00:00,0.06056,0.06079,0.5562,False,-55.1734,-0.5798,9460.95
short,2026-03-24 13:45:00+00:00,2026-03-24 13:46:00+00:00,0.06101,0.06104,0.5562,False,-23.5741,-0.2492,9437.37
short,2026-03-24 13:48:00+00:00,2026-03-24 13:49:00+00:00,0.06143,0.06226,0.5562,False,-146.3861,-1.5511,9290.99
short,2026-03-24 14:01:00+00:00,2026-03-24 14:02:00+00:00,0.0611,0.06084,0.5562,False,20.9541,0.2255,9311.94
short,2026-03-24 14:04:00+00:00,2026-03-24 14:05:00+00:00,0.0611,0.06075,0.5562,False,34.7178,0.3728,9346.66
short,2026-03-24 14:07:00+00:00,2026-03-24 14:08:00+00:00,0.06122,0.06113,0.5562,False,-4.9527,-0.053,9341.71
short,2026-03-24 14:10:00+00:00,2026-03-24 14:11:00+00:00,0.06094,0.06081,0.5562,False,1.2447,0.0133,9342.95
short,2026-03-24 14:14:00+00:00,2026-03-24 14:15:00+00:00,0.0603,0.06058,0.5562,False,-62.0694,-0.6643,9280.88
short,2026-03-24 14:17:00+00:00,2026-03-24 14:18:00+00:00,0.06064,0.06043,0.5562,False,13.5785,0.1463,9294.46
short,2026-03-24 14:20:00+00:00,2026-03-24 14:21:00+00:00,0.06061,0.06075,0.5562,False,-40.0577,-0.431,9254.4
short,2026-03-24 14:23:00+00:00,2026-03-24 14:24:00+00:00,0.06002,0.05999,0.5562,False,-13.8831,-0.15,9240.52
short,2026-03-24 14:26:00+00:00,2026-03-24 14:27:00+00:00,0.06008,0.06028,0.5562,False,-49.2418,-0.5329,9191.28
short,2026-03-24 14:29:00+00:00,2026-03-24 14:30:00+00:00,0.06048,0.06106,0.5562,False,-106.5264,-1.159,9084.75
short,2026-03-24 15:30:00+00:00,2026-03-24 15:31:00+00:00,0.06108,0.06092,0.5562,False,5.6281,0.062,9090.38
short,2026-03-24 15:33:00+00:00,2026-03-24 15:34:00+00:00,0.06093,0.06042,0.5562,False,57.9081,0.637,9148.29
short,2026-03-24 15:36:00+00:00,2026-03-24 15:37:00+00:00,0.06072,0.06075,0.5562,False,-22.8165,-0.2494,9125.47
short,2026-03-24 15:39:00+00:00,2026-03-24 15:40:00+00:00,0.06088,0.06065,0.5562,False,16.2244,0.1778,9141.7
short,2026-03-24 15:42:00+00:00,2026-03-24 15:43:00+00:00,0.06082,0.06101,0.5562,False,-46.8418,-0.5124,9094.85
short,2026-03-24 15:45:00+00:00,2026-03-24 15:46:00+00:00,0.06103,0.0609,0.5562,False,1.1832,0.013,9096.04
short,2026-03-24 15:48:00+00:00,2026-03-24 15:49:00+00:00,0.06061,0.05968,0.5562,False,121.3775,1.3344,9217.41
short,2026-03-24 15:51:00+00:00,2026-03-24 15:52:00+00:00,0.05995,0.06043,0.5562,False,-92.2356,-1.0007,9125.18
short,2026-03-24 15:54:00+00:00,2026-03-24 15:55:00+00:00,0.06033,0.05985,0.5562,False,54.3518,0.5956,9179.53
short,2026-03-24 15:57:00+00:00,2026-03-24 15:58:00+00:00,0.06003,0.05989,0.5562,False,3.0491,0.0332,9182.58
short,2026-03-24 16:00:00+00:00,2026-03-24 16:01:00+00:00,0.06017,0.06036,0.5562,False,-47.3612,-0.5158,9135.22
short,2026-03-24 16:03:00+00:00,2026-03-24 16:04:00+00:00,0.06009,0.06015,0.5562,False,-27.392,-0.2999,9107.83
short,2026-03-24 16:06:00+00:00,2026-03-24 16:07:00+00:00,0.06058,0.0594,0.5562,False,159.19,1.7478,9267.02
short,2026-03-24 16:09:00+00:00,2026-03-24 16:10:00+00:00,0.05938,0.05962,0.5562,False,-55.9891,-0.6042,9211.03
short,2026-03-24 16:12:00+00:00,2026-03-24 16:13:00+00:00,0.05891,0.05877,0.5562,False,3.468,0.0377,9214.5
short,2026-03-24 16:15:00+00:00,2026-03-24 16:16:00+00:00,0.05861,0.05866,0.5562,False,-26.2898,-0.2853,9188.21
short,2026-03-24 16:18:00+00:00,2026-03-24 16:19:00+00:00,0.05871,0.05832,0.5562,False,42.6592,0.4643,9230.87
short,2026-03-24 16:21:00+00:00,2026-03-24 16:22:00+00:00,0.05826,0.05757,0.5562,False,90.8637,0.9843,9321.73
short,2026-03-24 16:24:00+00:00,2026-03-24 16:25:00+00:00,0.05798,0.05845,0.5562,False,-94.2077,-1.0106,9227.52
short,2026-03-24 16:27:00+00:00,2026-03-24 16:28:00+00:00,0.05884,0.05889,0.5562,False,-26.2962,-0.285,9201.22
short,2026-03-24 16:30:00+00:00,2026-03-24 16:31:00+00:00,0.05922,0.05821,0.5562,False,138.5249,1.5055,9339.75
short,2026-03-24 16:33:00+00:00,2026-03-24 16:34:00+00:00,0.05797,0.05869,0.5562,False,-134.6812,-1.442,9205.07
short,2026-03-24 16:36:00+00:00,2026-03-24 16:37:00+00:00,0.05831,0.05847,0.5562,False,-43.6684,-0.4744,9161.4
short,2026-03-24 16:39:00+00:00,2026-03-24 16:40:00+00:00,0.05857,0.05836,0.5562,False,14.525,0.1585,9175.93
short,2026-03-24 16:42:00+00:00,2026-03-24 16:43:00+00:00,0.05844,0.05856,0.5562,False,-37.1936,-0.4053,9138.73
short,2026-03-24 16:45:00+00:00,2026-03-24 16:46:00+00:00,0.05826,0.05827,0.5562,False,-19.8461,-0.2172,9118.89
short,2026-03-24 16:48:00+00:00,2026-03-24 16:49:00+00:00,0.05792,0.058,0.5562,False,-30.8329,-0.3381,9088.05
short,2026-03-24 16:51:00+00:00,2026-03-24 16:52:00+00:00,0.05792,0.05796,0.5562,False,-24.4524,-0.2691,9063.6
short,2026-03-24 16:54:00+00:00,2026-03-24 16:55:00+00:00,0.05795,0.05782,0.5562,False,2.2053,0.0243,9065.81
short,2026-03-24 16:57:00+00:00,2026-03-24 16:58:00+00:00,0.05806,0.05812,0.5562,False,-27.5003,-0.3033,9038.31
short,2026-03-24 17:00:00+00:00,2026-03-24 17:01:00+00:00,0.05837,0.05774,0.5562,False,79.4758,0.8793,9117.78
short,2026-03-24 17:03:00+00:00,2026-03-24 17:04:00+00:00,0.05742,0.05777,0.5562,False,-73.8124,-0.8095,9043.97
short,2026-03-24 17:06:00+00:00,2026-03-24 17:07:00+00:00,0.05798,0.05821,0.5562,False,-53.9643,-0.5967,8990.0
short,2026-03-24 17:09:00+00:00,2026-03-24 17:10:00+00:00,0.05834,0.05785,0.5562,False,57.5274,0.6399,9047.53
short,2026-03-24 17:12:00+00:00,2026-03-24 17:13:00+00:00,0.05802,0.05782,0.5562,False,13.0926,0.1447,9060.62
short,2026-03-24 17:15:00+00:00,2026-03-24 17:16:00+00:00,0.05808,0.05787,0.5562,False,14.6393,0.1616,9075.26
short,2026-03-24 17:18:00+00:00,2026-03-24 17:19:00+00:00,0.05852,0.05813,0.5562,False,42.3306,0.4664,9117.59
short,2026-03-24 17:21:00+00:00,2026-03-24 17:22:00+00:00,0.05827,0.05812,0.5562,False,5.2355,0.0574,9122.83
short,2026-03-24 17:25:00+00:00,2026-03-24 17:26:00+00:00,0.05732,0.05692,0.5562,False,45.4168,0.4978,9168.25
short,2026-03-24 17:28:00+00:00,2026-03-24 17:29:00+00:00,0.05703,0.05701,0.5562,False,-15.1213,-0.1649,9153.12
short,2026-03-24 17:31:00+00:00,2026-03-24 17:32:00+00:00,0.05697,0.05745,0.5562,False,-95.4258,-1.0425,9057.7
short,2026-03-24 17:34:00+00:00,2026-03-24 17:35:00+00:00,0.05748,0.05737,0.5562,False,-0.7816,-0.0086,9056.92
short,2026-03-24 17:37:00+00:00,2026-03-24 17:38:00+00:00,0.05736,0.05766,0.5562,False,-65.4827,-0.723,8991.43
short,2026-03-24 17:40:00+00:00,2026-03-24 17:41:00+00:00,0.05743,0.0575,0.5562,False,-28.9423,-0.3219,8962.49
