direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-17 20:00:00+00:00,2026-03-17 20:30:00+00:00,0.04598,0.04604,0.7655,False,-6.9508,-0.0695,9993.05
long,2026-03-18 04:30:00+00:00,2026-03-18 05:00:00+00:00,0.04506,0.04532,0.6397,False,37.6746,0.377,10030.72
long,2026-03-18 07:00:00+00:00,2026-03-18 07:30:00+00:00,0.04529,0.04541,0.6405,False,6.5159,0.065,10037.24
long,2026-03-18 10:30:00+00:00,2026-03-18 11:00:00+00:00,0.04501,0.04486,0.7076,False,-53.5245,-0.5333,9983.72
short,2026-03-18 12:00:00+00:00,2026-03-18 12:30:00+00:00,0.0442,0.04372,0.5886,False,88.453,0.886,10072.17
short,2026-03-18 13:30:00+00:00,2026-03-18 14:00:00+00:00,0.04372,0.04324,0.6327,False,90.4376,0.8979,10162.61
short,2026-03-18 22:30:00+00:00,2026-03-18 23:00:00+00:00,0.0436,0.0435,0.6269,False,2.9835,0.0294,10165.59
short,2026-03-19 04:00:00+00:00,2026-03-19 04:30:00+00:00,0.04366,0.04337,0.6414,False,47.1911,0.4642,10212.78
short,2026-03-19 10:00:00+00:00,2026-03-19 10:30:00+00:00,0.04349,0.04322,0.6714,False,42.9787,0.4208,10255.76
short,2026-03-19 11:30:00+00:00,2026-03-19 12:00:00+00:00,0.04322,0.04256,0.6131,False,136.1012,1.3271,10391.86
short,2026-03-19 14:00:00+00:00,2026-03-19 14:30:00+00:00,0.04254,0.04237,0.7105,False,20.7446,0.1996,10412.6
long,2026-03-20 09:00:00+00:00,2026-03-20 09:30:00+00:00,0.04323,0.04312,0.6139,False,-47.3204,-0.4545,10365.28
long,2026-03-20 11:00:00+00:00,2026-03-20 11:30:00+00:00,0.04331,0.04293,0.6476,False,-111.6751,-1.0774,10253.61
