feature,importance
is_bullish,0.04981801
atr14,0.026256844
roc5,0.025792733
macd_cross_up,0.025524424
dist_high_5,0.02123472
rsi14_norm,0.020662222
stoch_k,0.019997578
williams_r,0.018714346
dist_high_20,0.018676355
ma20_slope,0.018494876
pos_10,0.016720204
lower_wick,0.016541675
ema10_dist,0.016238252
atr7,0.016160917
upper_wick,0.015740644
return_2,0.01556952
return_10,0.015246645
volatility_10,0.014328115
consec_down,0.014319999
ma20_dist,0.014005835
ma50_dist,0.013914035
bb_upper_dist,0.013729045
mom_10,0.0134438425
volatility_20,0.013146852
volume_delta,0.013115276
consec_up,0.013108551
ma100_slope,0.012950744
body_size,0.012797153
open_pos,0.01279276
day_of_week,0.01277719
return_3,0.012694017
bb_width,0.0125483945
dist_low_20,0.01238586
return_5,0.012334391
hl_range,0.01213559
ema5_dist,0.011840033
macd_line,0.011758165
ma5_dist,0.011650852
atr_ratio,0.011549739
minute,0.011534839
volatility_5,0.011393481
ma50_slope,0.011368942
cci14,0.011254672
return_1,0.011047073
dist_low_5,0.010864183
volume_zscore,0.010852945
volume_ratio10,0.010607817
vol_up,0.010572612
pos_50,0.010563092
macd_hist,0.010423287
ma100_dist,0.01037132
bb_pct,0.010289963
macd_hist_delta,0.010229655
ma5_slope,0.010216753
stoch_delta,0.010202038
hour,0.010057062
stoch_d,0.010006297
pos_20,0.009976449
macd_fast_hist,0.00995796
ma10_slope,0.009849026
pos_5,0.009585515
dist_ma100,0.009276499
ma10_dist,0.009255787
macd_fast_delta,0.009197403
rsi14,0.009164069
rsi7,0.009115568
ema20_dist,0.008725257
volume_ratio5,0.008502551
bb_squeeze,0.008343148
rsi14_delta,0.008099385
macd_signal,0.0076790303
range_atr,0.0076483674
cci14_delta,0.007422494
mom_3,0.0071747066
bb_lower_dist,0.0063548125
close_pos,0.004621234
vol_expand,0.0031804142
mom_5,0.002548877
roc10,0.001749021
gap,0.0
above_ma100,0.0
macd_cross_down,0.0
rsi_os,0.0
rsi_ob,0.0
stoch_os,0.0
stoch_ob,0.0
