feature,importance
ema10_dist,0.02160943
ma10_dist,0.02130674
stoch_k,0.017954579
dist_high_20,0.017879935
dist_high_5,0.017232442
rsi7,0.016507605
mom_3,0.016470458
ma20_slope,0.016439943
ma50_slope,0.016301641
rsi14,0.016236283
ma5_slope,0.016220806
dist_ma100,0.015854444
ma50_dist,0.015309366
pos_20,0.01525494
bb_upper_dist,0.015031459
volatility_10,0.014844567
macd_signal,0.01480233
return_10,0.014750424
minute,0.014632559
bb_pct,0.014163142
ma5_dist,0.01393743
williams_r,0.0138349915
volatility_20,0.01380005
mom_10,0.013783151
hl_range,0.013763016
pos_10,0.013682266
rsi14_delta,0.013527592
day_of_week,0.013474846
bb_lower_dist,0.013380477
ma100_slope,0.013100107
hour,0.013095525
macd_hist,0.012914609
return_2,0.012846501
volatility_5,0.012567204
stoch_d,0.012477884
volume_zscore,0.012295747
cci14,0.012237994
volume_delta,0.012222905
return_3,0.012173381
macd_line,0.012083866
mom_5,0.012037052
ma20_dist,0.011956818
cci14_delta,0.011933923
body_size,0.011850361
bb_width,0.011827617
pos_5,0.011803272
stoch_delta,0.011798448
return_5,0.011781954
return_1,0.011777202
ema20_dist,0.011732724
consec_down,0.011727365
atr14,0.011572645
roc5,0.011520649
ma100_dist,0.011494666
macd_hist_delta,0.011468237
consec_up,0.011440916
dist_low_20,0.011326684
vol_up,0.01128489
lower_wick,0.011242839
ma10_slope,0.01123649
close_pos,0.011123376
atr_ratio,0.011121975
pos_50,0.011067211
ema5_dist,0.010781506
range_atr,0.010699479
volume_ratio10,0.010486579
atr7,0.010456292
dist_low_5,0.010338294
macd_cross_up,0.009955424
macd_fast_hist,0.009618677
vol_expand,0.00959769
bb_squeeze,0.009580826
upper_wick,0.009480787
volume_ratio5,0.009363725
open_pos,0.009203768
rsi14_norm,0.009149201
macd_fast_delta,0.008958293
macd_cross_down,0.006199521
is_bullish,0.0
gap,0.0
above_ma100,0.0
rsi_ob,0.0
rsi_os,0.0
stoch_ob,0.0
stoch_os,0.0
roc10,0.0
