direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-24 12:40:00+00:00,2026-03-24 12:50:00+00:00,0.06064,0.06165,0.6677,False,146.5567,1.4656,10146.56
long,2026-03-24 13:30:00+00:00,2026-03-24 13:40:00+00:00,0.06079,0.06101,0.7052,False,16.4274,0.1619,10162.98
long,2026-03-24 14:15:00+00:00,2026-03-24 14:25:00+00:00,0.06034,0.06024,0.6733,False,-37.1688,-0.3657,10125.82
long,2026-03-24 15:30:00+00:00,2026-03-24 15:40:00+00:00,0.06108,0.06103,0.8742,False,-28.5406,-0.2819,10097.27
long,2026-03-24 15:50:00+00:00,2026-03-24 16:00:00+00:00,0.05968,0.06015,0.788,False,59.3249,0.5875,10156.6
long,2026-03-24 16:15:00+00:00,2026-03-24 16:25:00+00:00,0.05861,0.05922,0.8907,False,85.3945,0.8408,10241.99
long,2026-03-24 16:40:00+00:00,2026-03-24 16:50:00+00:00,0.05866,0.05802,0.6648,False,-132.2275,-1.291,10109.77
long,2026-03-24 17:25:00+00:00,2026-03-24 17:35:00+00:00,0.05732,0.05743,0.8094,False,-0.8184,-0.0081,10108.95
short,2026-03-24 18:50:00+00:00,2026-03-24 19:00:00+00:00,0.05783,0.05824,0.7214,False,-91.8878,-0.909,10017.06
short,2026-03-24 19:45:00+00:00,2026-03-24 19:55:00+00:00,0.05788,0.05747,0.7338,False,50.9229,0.5084,10067.98
long,2026-03-25 01:30:00+00:00,2026-03-25 01:40:00+00:00,0.06466,0.06598,0.886,False,185.3966,1.8414,10253.38
long,2026-03-25 02:20:00+00:00,2026-03-25 02:30:00+00:00,0.0665,0.06924,0.6595,False,401.9633,3.9203,10655.34
long,2026-03-25 03:25:00+00:00,2026-03-25 03:35:00+00:00,0.06531,0.06586,0.8192,False,68.422,0.6421,10723.77
long,2026-03-25 04:05:00+00:00,2026-03-25 04:15:00+00:00,0.06301,0.06331,0.705,False,29.6099,0.2761,10753.38
long,2026-03-25 05:55:00+00:00,2026-03-25 06:05:00+00:00,0.06595,0.06384,0.7638,False,-365.5495,-3.3994,10387.83
short,2026-03-25 07:25:00+00:00,2026-03-25 07:35:00+00:00,0.06252,0.0623,0.7674,False,15.7778,0.1519,10403.6
short,2026-03-25 07:55:00+00:00,2026-03-25 08:05:00+00:00,0.0628,0.06631,0.6865,False,-602.2825,-5.7892,9801.32
short,2026-03-25 13:25:00+00:00,2026-03-25 13:35:00+00:00,0.06357,0.06319,0.7598,False,38.9863,0.3978,9840.31
short,2026-03-25 13:50:00+00:00,2026-03-25 14:00:00+00:00,0.06312,0.06133,0.7247,False,259.3775,2.6359,10099.68
short,2026-03-25 14:20:00+00:00,2026-03-25 14:30:00+00:00,0.0614,0.06048,0.6652,False,131.1314,1.2984,10230.82
short,2026-03-25 14:50:00+00:00,2026-03-25 15:00:00+00:00,0.06096,0.06067,0.7722,False,28.2086,0.2757,10259.02
short,2026-03-25 15:10:00+00:00,2026-03-25 15:20:00+00:00,0.06067,0.06007,0.8724,False,80.9393,0.789,10339.96
short,2026-03-25 16:35:00+00:00,2026-03-25 16:45:00+00:00,0.06016,0.06025,0.6503,False,-36.1486,-0.3496,10303.82
short,2026-03-25 17:20:00+00:00,2026-03-25 17:30:00+00:00,0.06051,0.05991,0.7535,False,81.5621,0.7916,10385.38
short,2026-03-25 21:15:00+00:00,2026-03-25 21:25:00+00:00,0.0568,0.05683,0.7671,False,-26.256,-0.2528,10359.12
long,2026-03-26 01:50:00+00:00,2026-03-26 02:00:00+00:00,0.06129,0.06174,0.6571,False,55.3399,0.5342,10414.46
long,2026-03-26 03:25:00+00:00,2026-03-26 03:35:00+00:00,0.06002,0.05881,0.8277,False,-230.7839,-2.216,10183.68
short,2026-03-26 05:00:00+00:00,2026-03-26 05:10:00+00:00,0.05697,0.05699,0.7719,False,-23.9425,-0.2351,10159.74
short,2026-03-26 06:10:00+00:00,2026-03-26 06:20:00+00:00,0.05713,0.05638,0.7336,False,113.0571,1.1128,10272.79
short,2026-03-26 06:30:00+00:00,2026-03-26 06:40:00+00:00,0.0565,0.05599,0.7315,False,72.1823,0.7027,10344.97
short,2026-03-26 07:35:00+00:00,2026-03-26 07:45:00+00:00,0.05602,0.05638,0.6511,False,-87.1696,-0.8426,10257.8
short,2026-03-26 08:20:00+00:00,2026-03-26 08:30:00+00:00,0.0561,0.05627,0.7728,False,-51.5999,-0.503,10206.2
short,2026-03-26 08:45:00+00:00,2026-03-26 08:55:00+00:00,0.05616,0.05622,0.6606,False,-31.3165,-0.3068,10174.89
short,2026-03-26 09:10:00+00:00,2026-03-26 09:20:00+00:00,0.05596,0.05561,0.6998,False,43.2887,0.4254,10218.18
short,2026-03-26 09:50:00+00:00,2026-03-26 10:00:00+00:00,0.0556,0.05516,0.751,False,60.4269,0.5914,10278.6
short,2026-03-26 12:35:00+00:00,2026-03-26 12:45:00+00:00,0.05472,0.05413,0.7131,False,90.2684,0.8782,10368.87
short,2026-03-26 13:25:00+00:00,2026-03-26 13:35:00+00:00,0.05439,0.05403,0.7336,False,47.8924,0.4619,10416.76
short,2026-03-26 13:55:00+00:00,2026-03-26 14:05:00+00:00,0.05435,0.05428,0.7934,False,-7.4173,-0.0712,10409.35
short,2026-03-26 15:10:00+00:00,2026-03-26 15:20:00+00:00,0.05348,0.0538,0.7368,False,-83.1035,-0.7984,10326.24
short,2026-03-26 17:10:00+00:00,2026-03-26 17:20:00+00:00,0.05352,0.05378,0.6565,False,-70.8174,-0.6858,10255.43
short,2026-03-26 17:50:00+00:00,2026-03-26 18:00:00+00:00,0.05383,0.05358,0.6736,False,27.1179,0.2644,10282.54
short,2026-03-27 00:45:00+00:00,2026-03-27 00:55:00+00:00,0.05229,0.05243,0.7526,False,-48.0953,-0.4677,10234.45
short,2026-03-27 01:30:00+00:00,2026-03-27 01:40:00+00:00,0.05202,0.05195,0.6601,False,-6.6971,-0.0654,10227.75
short,2026-03-27 03:20:00+00:00,2026-03-27 03:30:00+00:00,0.05084,0.05098,0.671,False,-48.62,-0.4754,10179.13
short,2026-03-27 03:50:00+00:00,2026-03-27 04:00:00+00:00,0.05108,0.05096,0.7201,False,3.5551,0.0349,10182.69
short,2026-03-27 05:25:00+00:00,2026-03-27 05:35:00+00:00,0.05202,0.05163,0.7177,False,55.9754,0.5497,10238.66
short,2026-03-27 06:05:00+00:00,2026-03-27 06:15:00+00:00,0.05138,0.05102,0.6529,False,51.2611,0.5007,10289.92
short,2026-03-27 06:45:00+00:00,2026-03-27 06:55:00+00:00,0.051,0.05096,0.7342,False,-12.5093,-0.1216,10277.41
short,2026-03-27 08:45:00+00:00,2026-03-27 08:55:00+00:00,0.05083,0.0512,0.6749,False,-95.3658,-0.9279,10182.05
short,2026-03-27 10:10:00+00:00,2026-03-27 10:20:00+00:00,0.05097,0.05102,0.7099,False,-30.3524,-0.2981,10151.7
long,2026-03-27 17:00:00+00:00,2026-03-27 17:10:00+00:00,0.05135,0.05118,0.6801,False,-53.9117,-0.5311,10097.78
long,2026-03-27 17:25:00+00:00,2026-03-27 17:35:00+00:00,0.05092,0.05087,0.7311,False,-30.1109,-0.2982,10067.67
long,2026-03-28 09:30:00+00:00,2026-03-28 09:40:00+00:00,0.06302,0.064,0.7611,False,136.4232,1.3551,10204.1
long,2026-03-28 10:10:00+00:00,2026-03-28 10:20:00+00:00,0.06322,0.06453,0.6638,False,191.0339,1.8721,10395.13
long,2026-03-28 11:15:00+00:00,2026-03-28 11:25:00+00:00,0.06513,0.06477,0.8268,False,-78.2484,-0.7527,10316.88
long,2026-03-28 12:00:00+00:00,2026-03-28 12:10:00+00:00,0.06356,0.06456,0.8112,False,141.6835,1.3733,10458.57
long,2026-03-28 12:20:00+00:00,2026-03-28 12:30:00+00:00,0.06487,0.06413,0.6801,False,-140.2225,-1.3407,10318.34
long,2026-03-28 12:40:00+00:00,2026-03-28 12:50:00+00:00,0.06382,0.06373,0.7374,False,-35.1878,-0.341,10283.16
short,2026-03-28 14:40:00+00:00,2026-03-28 14:50:00+00:00,0.06214,0.06168,0.6726,False,55.5562,0.5403,10338.71
short,2026-03-28 15:05:00+00:00,2026-03-28 15:15:00+00:00,0.06203,0.06124,0.7304,False,110.9941,1.0736,10449.71
short,2026-03-28 15:45:00+00:00,2026-03-28 15:55:00+00:00,0.06199,0.06158,0.7143,False,48.2146,0.4614,10497.92
short,2026-03-28 16:05:00+00:00,2026-03-28 16:15:00+00:00,0.06177,0.06149,0.7739,False,26.5907,0.2533,10524.51
short,2026-03-28 16:40:00+00:00,2026-03-28 16:50:00+00:00,0.06168,0.06149,0.7002,False,11.3708,0.108,10535.88
short,2026-03-28 17:10:00+00:00,2026-03-28 17:20:00+00:00,0.0617,0.06167,0.7123,False,-15.949,-0.1514,10519.93
