direction,entry_time,exit_time,entry_price,exit_price,prob,pnl,pnl_pct,capital
long,2026-03-22 19:30:00+00:00,2026-03-22 20:00:00+00:00,2.36993,2.04734,0.5438,-1381.1794,-13.8118,8618.82
long,2026-03-23 00:15:00+00:00,2026-03-23 00:45:00+00:00,2.28129,2.32131,0.5331,133.9598,1.5543,8752.78
long,2026-03-23 00:30:00+00:00,2026-03-23 01:00:00+00:00,2.19771,2.3934,0.54,761.8655,8.7043,9514.65
long,2026-03-23 00:45:00+00:00,2026-03-23 01:15:00+00:00,2.20432,2.5322,0.5467,1396.2199,14.6744,10910.87
long,2026-03-23 01:00:00+00:00,2026-03-23 01:30:00+00:00,2.32131,2.51454,0.543,886.4183,8.1242,11797.28
long,2026-03-23 02:15:00+00:00,2026-03-23 02:45:00+00:00,2.57921,2.51789,0.5496,-304.0717,-2.5775,11493.21
long,2026-03-23 02:45:00+00:00,2026-03-23 03:15:00+00:00,2.51054,2.57705,0.5503,281.4953,2.4492,11774.71
long,2026-03-23 03:00:00+00:00,2026-03-23 03:30:00+00:00,2.51789,2.41034,0.5314,-526.4982,-4.4714,11248.21
long,2026-03-23 03:15:00+00:00,2026-03-23 03:45:00+00:00,2.65306,2.3794,0.5337,-1182.7359,-10.5149,10065.47
long,2026-03-23 03:45:00+00:00,2026-03-23 04:15:00+00:00,2.41034,2.56609,0.551,630.2742,6.2617,10695.75
long,2026-03-23 04:00:00+00:00,2026-03-23 04:30:00+00:00,2.3794,2.64077,0.5326,1153.5045,10.7847,11849.25
long,2026-03-23 04:15:00+00:00,2026-03-23 04:45:00+00:00,2.4967,2.56424,0.5647,296.844,2.5052,12146.1
long,2026-03-23 04:45:00+00:00,2026-03-23 05:15:00+00:00,2.64077,2.67842,0.583,148.8772,1.2257,12294.97
long,2026-03-23 05:00:00+00:00,2026-03-23 05:30:00+00:00,2.56424,2.72396,0.5984,741.2327,6.0287,13036.21
long,2026-03-23 06:00:00+00:00,2026-03-23 06:30:00+00:00,2.73861,2.68908,0.5594,-261.8429,-2.0086,12774.36
long,2026-03-23 06:45:00+00:00,2026-03-23 07:15:00+00:00,2.68908,2.67892,0.5216,-73.8134,-0.5778,12700.55
long,2026-03-23 10:45:00+00:00,2026-03-23 11:15:00+00:00,2.42752,2.4164,0.568,-83.5799,-0.6581,12616.97
long,2026-03-25 03:15:00+00:00,2026-03-25 03:45:00+00:00,1.71718,1.82041,0.54,733.2479,5.8116,13350.22
long,2026-03-25 03:30:00+00:00,2026-03-25 04:00:00+00:00,1.73704,1.7156,0.5427,-191.48,-1.4343,13158.74
long,2026-03-25 03:45:00+00:00,2026-03-25 04:15:00+00:00,1.72746,1.77337,0.537,323.3969,2.4577,13482.13
long,2026-03-25 04:00:00+00:00,2026-03-25 04:30:00+00:00,1.82041,1.77811,0.5775,-340.2422,-2.5237,13141.89
long,2026-03-25 04:15:00+00:00,2026-03-25 04:45:00+00:00,1.7156,1.79503,0.5992,582.1684,4.4299,13724.06
long,2026-03-25 04:30:00+00:00,2026-03-25 05:00:00+00:00,1.77337,1.8397,0.6245,485.8779,3.5403,14209.94
long,2026-03-25 04:45:00+00:00,2026-03-25 05:15:00+00:00,1.77811,1.89775,0.6111,927.6948,6.5285,15137.63
long,2026-03-25 05:00:00+00:00,2026-03-25 05:30:00+00:00,1.79503,1.82662,0.57,236.1258,1.5599,15373.76
long,2026-03-25 05:15:00+00:00,2026-03-25 05:45:00+00:00,1.8397,1.90904,0.5936,548.7037,3.5691,15922.46
long,2026-03-25 05:30:00+00:00,2026-03-25 06:00:00+00:00,1.89775,2.05,0.5696,1245.5599,7.8227,17168.02
long,2026-03-25 05:45:00+00:00,2026-03-25 06:15:00+00:00,1.82662,2.11898,0.5475,2713.495,15.8055,19881.52
long,2026-03-25 06:00:00+00:00,2026-03-25 06:30:00+00:00,1.90904,2.09049,0.562,1849.931,9.3048,21731.45
long,2026-03-25 06:30:00+00:00,2026-03-25 07:00:00+00:00,2.11898,2.27312,0.5218,1537.338,7.0743,23268.79
long,2026-03-25 06:45:00+00:00,2026-03-25 07:15:00+00:00,2.09049,2.28321,0.5448,2098.5866,9.0189,25367.37
long,2026-03-25 07:00:00+00:00,2026-03-25 07:30:00+00:00,2.11533,2.27539,0.5649,1868.7302,7.3667,27236.1
long,2026-03-25 10:00:00+00:00,2026-03-25 10:30:00+00:00,2.11768,2.21761,0.5213,1230.7569,4.5188,28466.86
long,2026-03-26 01:45:00+00:00,2026-03-26 02:15:00+00:00,2.18454,2.2731,0.5372,1097.0965,3.8539,29563.96
long,2026-03-26 02:45:00+00:00,2026-03-26 03:15:00+00:00,2.239,1.89025,0.5407,-4664.0543,-15.7762,24899.9
long,2026-03-26 03:00:00+00:00,2026-03-26 03:30:00+00:00,2.18477,1.94184,0.5442,-2818.4818,-11.3192,22081.42
long,2026-03-28 11:00:00+00:00,2026-03-28 11:30:00+00:00,1.59356,1.61005,0.5564,184.3335,0.8348,22265.75
long,2026-03-28 11:30:00+00:00,2026-03-28 12:00:00+00:00,1.64468,1.75927,0.5584,1506.7933,6.7673,23772.55
