direction,entry_time,exit_time,entry_price,exit_price,prob,pnl,pnl_pct,capital
long,2026-03-20 11:45:00+00:00,2026-03-20 11:45:00+00:00,0.92341,0.91849,0.7042,-73.2808,-0.7328,9926.72
long,2026-03-20 12:30:00+00:00,2026-03-20 12:30:00+00:00,0.92559,0.92085,0.6132,-70.6887,-0.7121,9856.03
long,2026-03-20 13:30:00+00:00,2026-03-20 13:30:00+00:00,0.9298,0.93099,0.6409,-7.0979,-0.072,9848.93
long,2026-03-20 14:30:00+00:00,2026-03-20 14:30:00+00:00,0.92572,0.92731,0.6739,-2.7815,-0.0282,9846.15
long,2026-03-20 14:45:00+00:00,2026-03-20 14:45:00+00:00,0.92731,0.90611,0.73,-244.7933,-2.4862,9601.36
long,2026-03-20 15:45:00+00:00,2026-03-20 15:45:00+00:00,0.91611,0.91431,0.6068,-38.0677,-0.3965,9563.29
long,2026-03-20 16:00:00+00:00,2026-03-20 16:00:00+00:00,0.91431,0.91967,0.6484,36.9367,0.3862,9600.23
long,2026-03-20 23:00:00+00:00,2026-03-20 23:00:00+00:00,0.924,0.91888,0.6077,-72.3965,-0.7541,9527.83
short,2026-03-21 03:15:00+00:00,2026-03-21 03:15:00+00:00,0.9165,0.91755,0.6051,-29.9713,-0.3146,9497.86
long,2026-03-22 17:00:00+00:00,2026-03-22 17:00:00+00:00,2.53143,2.70535,0.6347,633.5476,6.6704,10131.41
long,2026-03-23 02:00:00+00:00,2026-03-23 02:00:00+00:00,2.58777,2.57921,0.6198,-53.7762,-0.5308,10077.63
long,2026-03-23 02:45:00+00:00,2026-03-23 02:45:00+00:00,2.51054,2.51789,0.7001,9.3486,0.0928,10086.98
long,2026-03-23 03:30:00+00:00,2026-03-23 03:30:00+00:00,2.57705,2.41034,0.6759,-672.7031,-6.669,9414.28
long,2026-03-23 03:45:00+00:00,2026-03-23 03:45:00+00:00,2.41034,2.3794,0.6767,-139.6736,-1.4836,9274.6
long,2026-03-23 05:15:00+00:00,2026-03-23 05:15:00+00:00,2.84399,2.67842,0.6137,-558.4934,-6.0218,8716.11
long,2026-03-23 05:30:00+00:00,2026-03-23 05:30:00+00:00,2.67842,2.72396,0.768,130.764,1.5003,8846.87
long,2026-03-23 06:00:00+00:00,2026-03-23 06:00:00+00:00,2.73861,2.72207,0.6256,-71.125,-0.804,8775.75
long,2026-03-23 06:45:00+00:00,2026-03-23 06:45:00+00:00,2.68908,2.6744,0.7158,-65.4593,-0.7459,8710.29
long,2026-03-23 08:45:00+00:00,2026-03-23 08:45:00+00:00,2.8991,2.97706,0.6758,216.8087,2.4891,8927.1
long,2026-03-23 09:00:00+00:00,2026-03-23 09:00:00+00:00,2.97706,2.95704,0.6399,-77.8867,-0.8725,8849.21
long,2026-03-23 09:45:00+00:00,2026-03-23 09:45:00+00:00,2.93,2.98577,0.6614,150.7386,1.7034,8999.95
long,2026-03-23 10:15:00+00:00,2026-03-23 10:15:00+00:00,2.91646,2.71486,0.726,-640.1205,-7.1125,8359.83
short,2026-03-23 11:45:00+00:00,2026-03-23 11:45:00+00:00,2.39183,2.46307,0.6283,-265.7149,-3.1785,8094.11
short,2026-03-23 12:30:00+00:00,2026-03-23 12:30:00+00:00,2.39493,2.39422,0.7124,-13.7886,-0.1704,8080.33
short,2026-03-23 13:15:00+00:00,2026-03-23 13:15:00+00:00,2.31502,2.32046,0.6769,-35.1484,-0.435,8045.18
short,2026-03-23 14:00:00+00:00,2026-03-23 14:00:00+00:00,2.28078,2.40918,0.6241,-469.0059,-5.8297,7576.17
short,2026-03-23 14:15:00+00:00,2026-03-23 14:15:00+00:00,2.40918,2.17381,0.6532,725.0179,9.5697,8301.19
short,2026-03-23 15:15:00+00:00,2026-03-23 15:15:00+00:00,2.30293,2.38849,0.6236,-325.0137,-3.9153,7976.17
short,2026-03-23 18:00:00+00:00,2026-03-23 18:00:00+00:00,2.33195,2.36481,0.6412,-128.3463,-1.6091,7847.83
short,2026-03-23 19:15:00+00:00,2026-03-23 19:15:00+00:00,2.3469,2.29091,0.6238,171.53,2.1857,8019.36
short,2026-03-23 19:45:00+00:00,2026-03-23 19:45:00+00:00,2.42158,2.43932,0.6772,-74.7869,-0.9326,7944.57
short,2026-03-23 21:15:00+00:00,2026-03-23 21:15:00+00:00,2.44389,2.40968,0.7403,95.3204,1.1998,8039.89
short,2026-03-24 00:00:00+00:00,2026-03-24 00:00:00+00:00,2.37216,2.43388,0.777,-225.2656,-2.8018,7814.63
short,2026-03-24 00:15:00+00:00,2026-03-24 00:15:00+00:00,2.43388,2.4043,0.628,79.3453,1.0153,7893.97
short,2026-03-24 05:45:00+00:00,2026-03-24 05:45:00+00:00,1.00149,1.00064,0.6884,-9.0881,-0.1151,7884.88
