feature,importance
williams_r,0.031072618
ma10_dist,0.024739085
ema10_dist,0.024412846
ma20_dist,0.023633927
cci14,0.019412601
hl_range,0.019262772
macd_signal,0.018132238
return_10,0.01749838
atr7,0.017338509
stoch_k,0.017315928
rsi14,0.016724437
mom_3,0.01659991
lower_wick,0.016538866
rsi14_delta,0.016308846
macd_line,0.015877066
hour,0.015798854
ma50_slope,0.015756058
vol_up,0.015677454
ma100_slope,0.015388468
ema5_dist,0.015162327
atr_ratio,0.01510713
macd_hist,0.014919635
bb_lower_dist,0.014701672
volatility_10,0.01460559
atr14,0.01455258
pos_50,0.014545485
cci14_delta,0.014429565
volatility_20,0.014414261
ma5_dist,0.014366267
volume_delta,0.014300933
ma20_slope,0.014243203
body_size,0.0141331265
pos_5,0.014125597
stoch_d,0.013809339
ma10_slope,0.013660852
dist_low_5,0.013638874
dist_low_20,0.0136007555
pos_10,0.013505708
ma5_slope,0.013408211
macd_fast_delta,0.013367626
macd_fast_hist,0.013245609
rsi7,0.013159652
macd_hist_delta,0.013109227
dist_high_20,0.013048414
volume_ratio10,0.013004793
volume_ratio5,0.012901559
range_atr,0.012880662
return_2,0.01274083
close_pos,0.012720388
volume_zscore,0.012654766
dist_high_5,0.012226396
return_3,0.012064828
return_5,0.011873863
ema20_dist,0.011649906
bb_squeeze,0.011503189
volatility_5,0.011317033
day_of_week,0.011230046
ma100_dist,0.010929026
open_pos,0.0107139675
stoch_delta,0.01071056
upper_wick,0.010669414
ma50_dist,0.010639143
dist_ma100,0.0105399
minute,0.010457413
roc5,0.010377966
bb_pct,0.010329235
bb_width,0.010268642
pos_20,0.009878341
return_1,0.0087213
bb_upper_dist,0.008346323
consec_down,0.0
is_bullish,0.0
gap,0.0
consec_up,0.0
macd_cross_down,0.0
above_ma100,0.0
rsi_ob,0.0
macd_cross_up,0.0
rsi_os,0.0
rsi14_norm,0.0
vol_expand,0.0
stoch_ob,0.0
stoch_os,0.0
mom_5,0.0
mom_10,0.0
roc10,0.0
