direction,entry_time,exit_time,entry_price,exit_price,prob,pnl,pnl_pct,capital
long,2026-03-18 14:00:00+00:00,2026-03-18 14:30:00+00:00,0.86111,0.88242,0.6,227.4713,2.2747,10227.47
long,2026-03-18 14:15:00+00:00,2026-03-18 14:45:00+00:00,0.86798,0.88128,0.6134,136.2599,1.3323,10363.73
short,2026-03-19 11:00:00+00:00,2026-03-19 11:30:00+00:00,0.82183,0.84246,0.605,-280.8832,-2.7103,10082.85
short,2026-03-19 11:30:00+00:00,2026-03-19 12:00:00+00:00,0.82858,0.84793,0.7092,-255.6325,-2.5353,9827.22
short,2026-03-19 11:45:00+00:00,2026-03-19 12:15:00+00:00,0.84246,0.85563,0.6032,-173.2812,-1.7633,9653.93
short,2026-03-19 12:15:00+00:00,2026-03-19 12:45:00+00:00,0.84793,0.84539,0.609,9.6108,0.0996,9663.55
short,2026-03-19 12:30:00+00:00,2026-03-19 13:00:00+00:00,0.85563,0.84212,0.6065,133.2558,1.379,9796.8
short,2026-03-19 12:45:00+00:00,2026-03-19 13:15:00+00:00,0.82543,0.84501,0.6237,-251.9832,-2.5721,9544.82
short,2026-03-19 13:45:00+00:00,2026-03-19 14:15:00+00:00,0.82709,0.82035,0.6356,58.6916,0.6149,9603.51
short,2026-03-19 20:15:00+00:00,2026-03-19 20:45:00+00:00,0.79336,0.78026,0.6146,139.3666,1.4512,9742.88
short,2026-03-19 22:15:00+00:00,2026-03-19 22:45:00+00:00,0.825,0.79579,0.6282,325.4711,3.3406,10068.35
short,2026-03-19 22:30:00+00:00,2026-03-19 23:00:00+00:00,0.8184,0.80379,0.6893,159.6025,1.5852,10227.95
short,2026-03-19 22:45:00+00:00,2026-03-19 23:15:00+00:00,0.80963,0.79245,0.6988,196.5768,1.922,10424.53
short,2026-03-20 01:30:00+00:00,2026-03-20 02:00:00+00:00,0.815,0.81086,0.7293,32.105,0.308,10456.63
short,2026-03-20 01:45:00+00:00,2026-03-20 02:15:00+00:00,0.8157,0.86652,0.7043,-672.3856,-6.4302,9784.25
long,2026-03-20 15:15:00+00:00,2026-03-20 15:45:00+00:00,0.92021,0.91431,0.615,-82.301,-0.8412,9701.94
long,2026-03-20 15:30:00+00:00,2026-03-20 16:00:00+00:00,0.91583,0.91967,0.6039,21.2756,0.2193,9723.22
