direction,entry_time,exit_time,entry_price,exit_price,prob,pnl,pnl_pct,capital
long,2026-03-20 13:45:00+00:00,2026-03-20 13:45:00+00:00,0.93099,0.92614,0.6294,-72.0951,-0.721,9927.9
long,2026-03-20 14:30:00+00:00,2026-03-20 14:30:00+00:00,0.92572,0.92731,0.6747,-2.8038,-0.0282,9925.1
short,2026-03-21 07:15:00+00:00,2026-03-21 07:15:00+00:00,0.90815,0.91293,0.6277,-72.0905,-0.7263,9853.01
long,2026-03-22 07:30:00+00:00,2026-03-22 07:30:00+00:00,1.39726,1.51201,0.6534,789.4726,8.0125,10642.48
long,2026-03-22 08:00:00+00:00,2026-03-22 08:00:00+00:00,1.44047,1.51691,0.6461,543.4692,5.1066,11185.95
long,2026-03-22 10:00:00+00:00,2026-03-22 10:00:00+00:00,1.61203,1.65102,0.6816,248.1816,2.2187,11434.13
long,2026-03-22 13:30:00+00:00,2026-03-22 13:30:00+00:00,1.93404,2.04569,0.7124,637.2117,5.5729,12071.35
long,2026-03-22 17:00:00+00:00,2026-03-22 17:00:00+00:00,2.53143,2.70535,0.6574,805.2101,6.6704,12876.56
long,2026-03-22 18:00:00+00:00,2026-03-22 18:00:00+00:00,2.78967,2.60168,0.6202,-893.4772,-6.9388,11983.08
long,2026-03-22 18:15:00+00:00,2026-03-22 18:15:00+00:00,2.60168,3.1255,0.7088,2388.6965,19.9339,14371.78
long,2026-03-22 19:15:00+00:00,2026-03-22 19:15:00+00:00,2.18091,2.36993,0.6532,1216.8617,8.467,15588.64
long,2026-03-23 01:30:00+00:00,2026-03-23 01:30:00+00:00,2.5322,2.51454,0.7457,-139.8951,-0.8974,15448.74
long,2026-03-23 01:45:00+00:00,2026-03-23 01:45:00+00:00,2.51454,2.58777,0.7794,419.0104,2.7123,15867.75
long,2026-03-23 02:15:00+00:00,2026-03-23 02:15:00+00:00,2.57921,2.47259,0.6829,-687.6804,-4.3338,15180.07
long,2026-03-23 02:30:00+00:00,2026-03-23 02:30:00+00:00,2.47259,2.51054,0.6896,202.6278,1.3348,15382.7
long,2026-03-23 03:15:00+00:00,2026-03-23 03:15:00+00:00,2.65306,2.57705,0.628,-471.4788,-3.065,14911.22
long,2026-03-23 03:30:00+00:00,2026-03-23 03:30:00+00:00,2.57705,2.41034,0.7737,-994.433,-6.669,13916.79
long,2026-03-23 03:45:00+00:00,2026-03-23 03:45:00+00:00,2.41034,2.3794,0.6799,-206.4745,-1.4836,13710.31
long,2026-03-23 04:30:00+00:00,2026-03-23 04:30:00+00:00,2.56609,2.64077,0.643,371.5857,2.7103,14081.9
long,2026-03-23 04:45:00+00:00,2026-03-23 04:45:00+00:00,2.64077,2.56424,0.8214,-436.2598,-3.098,13645.64
long,2026-03-23 05:00:00+00:00,2026-03-23 05:00:00+00:00,2.56424,2.84399,0.6347,1461.4023,10.7097,15107.04
long,2026-03-23 05:15:00+00:00,2026-03-23 05:15:00+00:00,2.84399,2.67842,0.6544,-909.7083,-6.0218,14197.33
long,2026-03-23 05:30:00+00:00,2026-03-23 05:30:00+00:00,2.67842,2.72396,0.8886,212.9964,1.5003,14410.33
long,2026-03-23 05:45:00+00:00,2026-03-23 05:45:00+00:00,2.72396,2.73861,0.6556,48.681,0.3378,14459.01
long,2026-03-23 06:30:00+00:00,2026-03-23 06:30:00+00:00,2.78612,2.68908,0.7221,-532.5224,-3.683,13926.49
long,2026-03-23 06:45:00+00:00,2026-03-23 06:45:00+00:00,2.68908,2.6744,0.698,-103.8793,-0.7459,13822.61
long,2026-03-23 08:00:00+00:00,2026-03-23 08:00:00+00:00,2.94799,2.91167,0.6945,-197.9433,-1.432,13624.67
long,2026-03-23 08:15:00+00:00,2026-03-23 08:15:00+00:00,2.91167,2.9152,0.7925,-10.7313,-0.0788,13613.93
long,2026-03-23 08:30:00+00:00,2026-03-23 08:30:00+00:00,2.9152,2.8991,0.6587,-102.4146,-0.7523,13511.52
long,2026-03-23 08:45:00+00:00,2026-03-23 08:45:00+00:00,2.8991,2.97706,0.812,336.3166,2.4891,13847.84
long,2026-03-23 09:15:00+00:00,2026-03-23 09:15:00+00:00,2.95704,2.98135,0.6227,86.1482,0.6221,13933.98
long,2026-03-23 09:30:00+00:00,2026-03-23 09:30:00+00:00,2.98135,2.93,0.6591,-267.8633,-1.9224,13666.12
short,2026-03-23 11:45:00+00:00,2026-03-23 11:45:00+00:00,2.39183,2.46307,0.7915,-434.3739,-3.1785,13231.75
short,2026-03-23 12:15:00+00:00,2026-03-23 12:15:00+00:00,2.37458,2.39493,0.7793,-139.8587,-1.057,13091.89
short,2026-03-23 12:30:00+00:00,2026-03-23 12:30:00+00:00,2.39493,2.39422,0.8913,-22.3026,-0.1704,13069.59
short,2026-03-23 12:45:00+00:00,2026-03-23 12:45:00+00:00,2.39422,2.31006,0.8826,433.2741,3.3151,13502.86
short,2026-03-23 13:00:00+00:00,2026-03-23 13:00:00+00:00,2.31006,2.31502,0.7506,-55.9981,-0.4147,13446.86
short,2026-03-23 13:15:00+00:00,2026-03-23 13:15:00+00:00,2.31502,2.32046,0.7398,-58.4921,-0.435,13388.37
short,2026-03-23 13:30:00+00:00,2026-03-23 13:30:00+00:00,2.32046,2.303,0.6987,73.9623,0.5524,13462.33
short,2026-03-23 14:00:00+00:00,2026-03-23 14:00:00+00:00,2.28078,2.40918,0.691,-784.8072,-5.8297,12677.52
short,2026-03-23 14:15:00+00:00,2026-03-23 14:15:00+00:00,2.40918,2.17381,0.6777,1213.2029,9.5697,13890.73
short,2026-03-23 14:45:00+00:00,2026-03-23 14:45:00+00:00,2.24248,2.22286,0.7011,93.7519,0.6749,13984.48
short,2026-03-23 15:00:00+00:00,2026-03-23 15:00:00+00:00,2.22286,2.30293,0.6222,-531.7062,-3.8021,13452.77
short,2026-03-23 15:15:00+00:00,2026-03-23 15:15:00+00:00,2.30293,2.38849,0.7789,-526.712,-3.9153,12926.06
short,2026-03-23 16:00:00+00:00,2026-03-23 16:00:00+00:00,2.32261,2.35805,0.6951,-223.087,-1.7259,12702.97
short,2026-03-23 16:15:00+00:00,2026-03-23 16:15:00+00:00,2.35805,2.36373,0.7611,-56.0045,-0.4409,12646.97
short,2026-03-23 16:30:00+00:00,2026-03-23 16:30:00+00:00,2.36373,2.29365,0.6752,349.6641,2.7648,12996.63
short,2026-03-23 16:45:00+00:00,2026-03-23 16:45:00+00:00,2.29365,2.32206,0.6364,-186.9744,-1.4386,12809.66
short,2026-03-23 17:00:00+00:00,2026-03-23 17:00:00+00:00,2.32206,2.30423,0.7646,72.74,0.5679,12882.4
short,2026-03-23 18:00:00+00:00,2026-03-23 18:00:00+00:00,2.33195,2.36481,0.7716,-207.2934,-1.6091,12675.11
short,2026-03-23 18:30:00+00:00,2026-03-23 18:30:00+00:00,2.35113,2.28814,0.7066,314.2333,2.4791,12989.34
short,2026-03-23 19:00:00+00:00,2026-03-23 19:00:00+00:00,2.30976,2.3469,0.8027,-234.842,-1.808,12754.5
short,2026-03-23 19:15:00+00:00,2026-03-23 19:15:00+00:00,2.3469,2.29091,0.7288,278.7751,2.1857,13033.27
short,2026-03-23 19:45:00+00:00,2026-03-23 19:45:00+00:00,2.42158,2.43932,0.6725,-121.5456,-0.9326,12911.73
short,2026-03-23 21:15:00+00:00,2026-03-23 21:15:00+00:00,2.44389,2.40968,0.776,154.9172,1.1998,13066.64
short,2026-03-23 22:15:00+00:00,2026-03-23 22:15:00+00:00,2.38238,2.37172,0.6424,32.3336,0.2475,13098.98
short,2026-03-23 23:45:00+00:00,2026-03-23 23:45:00+00:00,2.36808,2.37216,0.6794,-48.7664,-0.3723,13050.21
short,2026-03-24 00:00:00+00:00,2026-03-24 00:00:00+00:00,2.37216,2.43388,0.8316,-365.6471,-2.8018,12684.56
short,2026-03-24 00:15:00+00:00,2026-03-24 00:15:00+00:00,2.43388,2.4043,0.7185,128.7919,1.0153,12813.36
short,2026-03-24 03:15:00+00:00,2026-03-24 03:15:00+00:00,1.00251,0.98733,0.6472,168.393,1.3142,12981.75
short,2026-03-24 03:30:00+00:00,2026-03-24 03:30:00+00:00,0.98733,0.9839,0.6862,19.1353,0.1474,13000.88
short,2026-03-24 03:45:00+00:00,2026-03-24 03:45:00+00:00,0.9839,0.82382,0.6333,2089.2351,16.0699,15090.12
short,2026-03-24 04:15:00+00:00,2026-03-24 04:15:00+00:00,0.90594,0.91121,0.6413,-117.9619,-0.7817,14972.16
short,2026-03-24 05:15:00+00:00,2026-03-24 05:15:00+00:00,1.01242,1.01554,0.6209,-76.0844,-0.5082,14896.07
short,2026-03-24 05:30:00+00:00,2026-03-24 05:30:00+00:00,1.01554,1.00149,0.8443,176.2951,1.1835,15072.37
short,2026-03-24 05:45:00+00:00,2026-03-24 05:45:00+00:00,1.00149,1.00064,0.7667,-17.3523,-0.1151,15055.02
short,2026-03-24 06:00:00+00:00,2026-03-24 06:00:00+00:00,1.00064,1.01059,0.7232,-179.8116,-1.1944,14875.2
short,2026-03-24 06:15:00+00:00,2026-03-24 06:15:00+00:00,1.01059,1.01429,0.7056,-84.2119,-0.5661,14790.99
short,2026-03-24 06:45:00+00:00,2026-03-24 06:45:00+00:00,1.00437,0.99944,0.7313,43.0203,0.2909,14834.01
short,2026-03-24 07:00:00+00:00,2026-03-24 07:00:00+00:00,0.99944,0.99117,0.7419,93.078,0.6275,14927.09
short,2026-03-24 07:30:00+00:00,2026-03-24 07:30:00+00:00,1.00232,0.99431,0.6655,89.4351,0.5991,15016.53
short,2026-03-24 08:15:00+00:00,2026-03-24 08:15:00+00:00,1.04123,1.02399,0.8063,218.6007,1.4557,15235.13
short,2026-03-24 09:15:00+00:00,2026-03-24 09:15:00+00:00,0.99108,0.99864,0.7402,-146.6844,-0.9628,15088.44
short,2026-03-24 09:45:00+00:00,2026-03-24 09:45:00+00:00,1.022,1.02249,0.7233,-37.4111,-0.2479,15051.03
short,2026-03-24 10:00:00+00:00,2026-03-24 10:00:00+00:00,1.02249,1.01286,0.6546,111.6513,0.7418,15162.68
short,2026-03-24 10:15:00+00:00,2026-03-24 10:15:00+00:00,1.01286,1.0188,0.708,-119.2482,-0.7865,15043.43
short,2026-03-24 10:30:00+00:00,2026-03-24 10:30:00+00:00,1.0188,1.01303,0.7866,55.112,0.3664,15098.55
short,2026-03-24 11:00:00+00:00,2026-03-24 11:00:00+00:00,1.03314,1.02548,0.6372,81.7479,0.5414,15180.29
short,2026-03-24 11:15:00+00:00,2026-03-24 11:15:00+00:00,1.02548,1.0291,0.7059,-83.9479,-0.553,15096.35
short,2026-03-24 11:30:00+00:00,2026-03-24 11:30:00+00:00,1.0291,1.04361,0.6345,-243.0466,-1.61,14853.3
short,2026-03-24 11:45:00+00:00,2026-03-24 11:45:00+00:00,1.04361,1.0155,0.6645,370.3722,2.4935,15223.67
short,2026-03-24 12:15:00+00:00,2026-03-24 12:15:00+00:00,1.01567,0.99931,0.7287,214.7694,1.4108,15438.44
short,2026-03-24 15:00:00+00:00,2026-03-24 15:00:00+00:00,1.00861,1.00972,0.6551,-47.8673,-0.3101,15390.57
