feature,importance
atr14,11
bb_width,7
hour,7
atr7,5
macd_hist,4
ma100_dist,3
ma100_slope,3
volatility_10,3
ma50_dist,3
bb_lower_dist,2
day_of_week,2
minute,2
cci14_delta,2
volume_ratio5,2
open_pos,2
atr_ratio,2
dist_low_20,2
macd_hist_delta,2
close_pos,2
lower_wick,2
return_3,1
return_10,1
range_atr,1
volatility_5,1
rsi7,1
ma50_slope,1
macd_line,1
dist_high_5,1
vol_up,1
volume_zscore,1
volatility_20,1
macd_signal,1
ema5_dist,1
macd_fast_delta,1
body_size,1
ma10_slope,1
ma5_dist,1
macd_fast_hist,1
ma5_slope,0
consec_down,0
ma10_dist,0
ma20_dist,0
hl_range,0
is_bullish,0
gap,0
consec_up,0
upper_wick,0
return_1,0
return_2,0
return_5,0
above_ma100,0
macd_cross_up,0
ema10_dist,0
macd_cross_down,0
bb_pct,0
bb_squeeze,0
rsi14_delta,0
rsi14,0
rsi14_norm,0
rsi_ob,0
rsi_os,0
bb_upper_dist,0
ma20_slope,0
ema20_dist,0
dist_ma100,0
pos_10,0
volume_ratio10,0
volume_delta,0
pos_5,0
vol_expand,0
dist_low_5,0
dist_high_20,0
pos_20,0
pos_50,0
stoch_ob,0
stoch_k,0
stoch_delta,0
stoch_d,0
cci14,0
williams_r,0
stoch_os,0
mom_3,0
roc5,0
mom_10,0
mom_5,0
roc10,0
