feature,importance
atr7,13
hl_range,11
volatility_20,9
bb_width,8
ma50_dist,7
bb_pct,6
ma10_slope,6
hour,6
atr14,6
volatility_5,5
cci14,5
ma20_slope,5
close_pos,4
ma100_slope,4
volatility_10,4
open_pos,4
volume_zscore,4
bb_upper_dist,3
cci14_delta,3
volume_ratio5,3
ma5_slope,3
volume_ratio10,3
day_of_week,3
return_2,2
dist_low_5,2
atr_ratio,2
macd_signal,2
dist_low_20,2
vol_up,2
pos_10,2
macd_fast_delta,2
macd_hist,2
return_3,2
return_5,2
minute,2
body_size,2
lower_wick,2
mom_3,2
pos_50,1
ma100_dist,1
pos_5,1
volume_delta,1
upper_wick,1
range_atr,1
mom_5,1
ma20_dist,1
macd_hist_delta,1
bb_squeeze,1
ma50_slope,1
ema10_dist,1
macd_fast_hist,1
macd_line,1
dist_high_20,1
ema5_dist,1
dist_ma100,1
mom_10,0
roc5,0
roc10,0
dist_high_5,0
stoch_d,0
stoch_delta,0
stoch_ob,0
stoch_os,0
williams_r,0
stoch_k,0
return_1,0
pos_20,0
vol_expand,0
return_10,0
is_bullish,0
gap,0
consec_up,0
consec_down,0
ma5_dist,0
ma10_dist,0
above_ma100,0
ema20_dist,0
macd_cross_up,0
macd_cross_down,0
rsi14,0
rsi7,0
rsi14_delta,0
rsi14_norm,0
rsi_ob,0
bb_lower_dist,0
rsi_os,0
