feature,importance
atr14,0.10165155
atr7,0.028427124
bb_width,0.015858117
rsi_os,0.015123113
ema20_dist,0.014824286
volatility_20,0.0141099775
ema10_dist,0.013956511
ma10_dist,0.013022908
ma5_dist,0.013014828
mom_5,0.0128779
pos_10,0.012662501
ema5_dist,0.012652374
return_2,0.012243846
dist_low_5,0.0122025255
ma100_dist,0.012166891
ma20_dist,0.012161671
rsi14_norm,0.011962463
return_1,0.01196062
macd_line,0.01193694
ma50_dist,0.011909183
dist_high_20,0.01187956
volume_ratio5,0.011844772
williams_r,0.011821348
dist_low_20,0.011752421
ma100_slope,0.011704736
macd_fast_delta,0.011704079
atr_ratio,0.0116961105
ma20_slope,0.011695583
open_pos,0.011676513
bb_lower_dist,0.011649099
macd_cross_up,0.01164516
hour,0.011612196
stoch_d,0.011468436
macd_signal,0.011403496
return_3,0.011372296
macd_fast_hist,0.011352003
pos_5,0.011336661
pos_50,0.011314796
rsi14,0.011286448
mom_10,0.011281793
pos_20,0.011267527
volume_ratio10,0.011204061
ma5_slope,0.0111992825
vol_expand,0.011072182
volatility_10,0.01106563
stoch_k,0.011029251
volatility_5,0.0110184755
bb_pct,0.010963991
dist_high_5,0.0109533835
macd_hist_delta,0.01093634
vol_up,0.010934587
return_10,0.010883006
hl_range,0.010857097
return_5,0.010812708
ma10_slope,0.010783789
volume_delta,0.010775982
upper_wick,0.010718951
macd_hist,0.010663568
minute,0.0105555765
cci14_delta,0.010551905
rsi7,0.010483919
volume_zscore,0.0104244035
cci14,0.010376407
dist_ma100,0.01025887
bb_upper_dist,0.010091441
lower_wick,0.01000949
stoch_delta,0.009962348
ma50_slope,0.00994447
range_atr,0.00994174
close_pos,0.009782672
body_size,0.009781777
day_of_week,0.009712253
rsi14_delta,0.009502371
consec_up,0.009371965
mom_3,0.009213176
roc5,0.008547049
bb_squeeze,0.0076336986
roc10,0.0062495787
macd_cross_down,0.0049016657
stoch_os,0.004830862
consec_down,0.0045097293
is_bullish,0.0
stoch_ob,0.0
rsi_ob,0.0
gap,0.0
above_ma100,0.0
