direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-18 00:42:00+00:00,2026-03-18 00:42:00+00:00,0.72633,0.72752,0.6759,False,-3.6163,-0.0362,9996.38
long,2026-03-18 00:48:00+00:00,2026-03-18 00:48:00+00:00,0.74677,0.75327,0.8815,False,67.0173,0.6704,10063.4
long,2026-03-18 00:51:00+00:00,2026-03-18 00:51:00+00:00,0.72765,0.73349,0.6914,False,60.6404,0.6026,10124.04
long,2026-03-18 00:57:00+00:00,2026-03-18 00:57:00+00:00,0.73431,0.72982,0.6913,False,-82.1524,-0.8115,10041.89
long,2026-03-18 00:59:00+00:00,2026-03-18 00:59:00+00:00,0.72876,0.73,0.7537,False,-2.9973,-0.0298,10038.89
long,2026-03-18 01:02:00+00:00,2026-03-18 01:02:00+00:00,0.73695,0.74412,0.669,False,77.5935,0.7729,10116.49
long,2026-03-18 01:06:00+00:00,2026-03-18 01:06:00+00:00,0.74669,0.74463,0.6991,False,-48.1428,-0.4759,10068.34
long,2026-03-18 01:14:00+00:00,2026-03-18 01:14:00+00:00,0.74285,0.74609,0.7323,False,23.7772,0.2362,10092.12
long,2026-03-18 01:16:00+00:00,2026-03-18 01:16:00+00:00,0.74101,0.74686,0.6713,False,59.4893,0.5895,10151.61
long,2026-03-18 01:24:00+00:00,2026-03-18 01:24:00+00:00,0.75087,0.75036,0.6632,False,-27.1983,-0.2679,10124.41
long,2026-03-18 01:32:00+00:00,2026-03-18 01:32:00+00:00,0.75498,0.75406,0.6847,False,-32.5862,-0.3219,10091.82
long,2026-03-18 01:35:00+00:00,2026-03-18 01:35:00+00:00,0.75802,0.7576,0.6813,False,-25.7753,-0.2554,10066.05
long,2026-03-18 01:37:00+00:00,2026-03-18 01:37:00+00:00,0.76068,0.76303,0.7134,False,10.9654,0.1089,10077.01
long,2026-03-18 01:39:00+00:00,2026-03-18 01:39:00+00:00,0.76668,0.76697,0.6835,False,-16.3424,-0.1622,10060.67
long,2026-03-18 01:41:00+00:00,2026-03-18 01:41:00+00:00,0.76392,0.76695,0.7046,False,19.7831,0.1966,10080.46
long,2026-03-18 01:44:00+00:00,2026-03-18 01:44:00+00:00,0.77196,0.77605,0.6972,False,33.2474,0.3298,10113.7
long,2026-03-18 01:53:00+00:00,2026-03-18 01:53:00+00:00,0.78877,0.79063,0.6965,False,3.6217,0.0358,10117.32
long,2026-03-18 02:03:00+00:00,2026-03-18 02:03:00+00:00,0.76926,0.7712,0.694,False,5.2803,0.0522,10122.6
long,2026-03-18 02:07:00+00:00,2026-03-18 02:07:00+00:00,0.76832,0.76547,0.6867,False,-57.7939,-0.5709,10064.81
long,2026-03-18 02:11:00+00:00,2026-03-18 02:11:00+00:00,0.75644,0.75911,0.7548,False,15.3961,0.153,10080.21
long,2026-03-18 02:18:00+00:00,2026-03-18 02:18:00+00:00,0.76046,0.76089,0.7519,False,-14.4606,-0.1435,10065.75
long,2026-03-18 02:32:00+00:00,2026-03-18 02:32:00+00:00,0.7714,0.77133,0.7833,False,-21.0449,-0.2091,10044.7
long,2026-03-18 03:40:00+00:00,2026-03-18 03:40:00+00:00,0.78679,0.7917,0.6728,False,42.595,0.4241,10087.3
long,2026-03-18 03:44:00+00:00,2026-03-18 03:44:00+00:00,0.80172,0.79298,0.7139,False,-130.1419,-1.2902,9957.15
long,2026-03-18 03:57:00+00:00,2026-03-18 03:57:00+00:00,0.82821,0.82695,0.7156,False,-35.0627,-0.3521,9922.09
long,2026-03-18 04:01:00+00:00,2026-03-18 04:01:00+00:00,0.82377,0.8245,0.853,False,-11.0515,-0.1114,9911.04
long,2026-03-18 04:03:00+00:00,2026-03-18 04:03:00+00:00,0.82958,0.81893,0.6858,False,-147.0582,-1.4838,9763.98
long,2026-03-18 04:05:00+00:00,2026-03-18 04:05:00+00:00,0.81889,0.82099,0.8006,False,5.5113,0.0564,9769.49
long,2026-03-18 04:09:00+00:00,2026-03-18 04:09:00+00:00,0.81083,0.8096,0.804,False,-34.359,-0.3517,9735.13
long,2026-03-18 04:14:00+00:00,2026-03-18 04:14:00+00:00,0.80246,0.80691,0.7481,False,34.5154,0.3545,9769.65
