feature,importance
atr7,0.037910506
atr14,0.02368758
volatility_20,0.015001187
roc5,0.014864606
williams_r,0.014861081
bb_width,0.014550874
bb_squeeze,0.014442623
ma5_dist,0.0144086145
hour,0.014281595
day_of_week,0.014197482
rsi7,0.013446382
macd_cross_up,0.013349918
ma20_slope,0.013260138
mom_5,0.013246006
volume_zscore,0.013152145
roc10,0.012820642
macd_line,0.012769226
dist_ma100,0.012743692
ma50_slope,0.012734009
rsi14_norm,0.012717414
ma20_dist,0.012701952
dist_low_20,0.012701026
ma50_dist,0.012631349
hl_range,0.012571818
pos_20,0.012486827
dist_low_5,0.012463034
pos_10,0.01235918
return_1,0.012339626
ema10_dist,0.012296409
pos_50,0.012288652
volume_ratio10,0.012187525
bb_pct,0.012174917
pos_5,0.01213135
rsi14_delta,0.0119755035
cci14,0.011973866
stoch_k,0.011968584
minute,0.011866646
mom_10,0.011828939
ema5_dist,0.011825447
range_atr,0.011775396
dist_high_20,0.0117688365
ema20_dist,0.011759626
ma10_dist,0.011756571
ma100_dist,0.011753716
rsi14,0.011736867
close_pos,0.011699108
bb_lower_dist,0.011696746
return_5,0.011688836
return_10,0.011593244
lower_wick,0.0115836905
volatility_10,0.011538816
volume_ratio5,0.011521221
macd_cross_down,0.011517909
dist_high_5,0.011469099
stoch_d,0.011455459
volume_delta,0.011381661
vol_up,0.011363186
macd_fast_hist,0.0113481805
ma5_slope,0.01131603
consec_up,0.011230931
return_2,0.011206216
stoch_delta,0.011190517
bb_upper_dist,0.011163417
return_3,0.011130442
ma10_slope,0.011069095
vol_expand,0.011064449
macd_signal,0.011031322
atr_ratio,0.010958485
upper_wick,0.010909764
open_pos,0.0108261835
volatility_5,0.010811572
body_size,0.010673989
ma100_slope,0.010627622
macd_hist,0.010507862
cci14_delta,0.010447966
macd_fast_delta,0.010099426
mom_3,0.010060261
macd_hist_delta,0.009500424
rsi_ob,0.008207978
consec_down,0.007660555
rsi_os,0.006678913
stoch_os,0.0
stoch_ob,0.0
is_bullish,0.0
above_ma100,0.0
gap,0.0
