feature,importance
atr14,0.09706132
atr7,0.038381446
mom_5,0.020484501
volatility_20,0.01939293
consec_up,0.018016607
macd_cross_up,0.017410107
bb_width,0.017183905
roc5,0.01706205
ma100_slope,0.01696563
rsi14_norm,0.016960569
pos_20,0.016521646
hl_range,0.016459653
williams_r,0.016427392
day_of_week,0.015955634
volatility_10,0.015345897
macd_hist_delta,0.014614997
ma20_dist,0.013996079
dist_low_5,0.013913859
dist_high_5,0.013895128
volatility_5,0.013608725
macd_signal,0.013547906
ma10_dist,0.013532294
macd_fast_hist,0.013405698
pos_50,0.013142645
stoch_delta,0.012929673
bb_squeeze,0.012869302
atr_ratio,0.012852729
stoch_k,0.012500151
dist_high_20,0.012283523
ma50_slope,0.01222315
ma5_slope,0.012211809
volume_zscore,0.01180232
macd_line,0.011591012
cci14,0.011266617
return_2,0.011088983
rsi14_delta,0.01097067
return_3,0.010880483
volume_ratio10,0.010847379
body_size,0.010844218
ema5_dist,0.010821509
dist_low_20,0.010763516
ma100_dist,0.010620411
ma50_dist,0.010612131
stoch_d,0.010515271
roc10,0.010415867
close_pos,0.010383442
ema10_dist,0.010235052
bb_upper_dist,0.010178424
rsi14,0.009855877
minute,0.009849524
pos_10,0.009778934
macd_hist,0.00971435
bb_pct,0.009709088
hour,0.00969915
pos_5,0.009648907
rsi7,0.009532211
return_1,0.009333448
cci14_delta,0.009282026
ma20_slope,0.009200192
ema20_dist,0.008838702
return_10,0.008798844
vol_up,0.008578521
range_atr,0.008559575
macd_fast_delta,0.008548931
volume_ratio5,0.008355679
lower_wick,0.0082841115
bb_lower_dist,0.008136507
return_5,0.007916127
volume_delta,0.0076986416
vol_expand,0.0072211577
ma5_dist,0.0066863964
dist_ma100,0.006530015
ma10_slope,0.006367797
upper_wick,0.0063429032
mom_3,0.005575415
rsi_ob,0.0047885203
open_pos,0.004332947
macd_cross_down,0.0042703385
mom_10,0.0035709601
consec_down,0.0
is_bullish,0.0
gap,0.0
rsi_os,0.0
above_ma100,0.0
stoch_os,0.0
stoch_ob,0.0
