direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
short,2026-03-22 00:36:00+00:00,2026-03-22 00:36:00+00:00,0.1031,0.10337,0.7845,False,-46.1882,-0.4619,9953.81
long,2026-03-22 13:34:00+00:00,2026-03-22 13:34:00+00:00,0.10453,0.10457,0.7784,False,-16.0986,-0.1617,9937.71
short,2026-03-22 19:39:00+00:00,2026-03-22 19:39:00+00:00,0.08475,0.08489,0.7263,False,-36.2917,-0.3652,9901.42
short,2026-03-22 19:44:00+00:00,2026-03-22 19:44:00+00:00,0.0853,0.08545,0.7004,False,-37.2145,-0.3758,9864.21
short,2026-03-22 19:46:00+00:00,2026-03-22 19:46:00+00:00,0.08545,0.08475,0.8681,False,61.0784,0.6192,9925.29
short,2026-03-22 22:12:00+00:00,2026-03-22 22:12:00+00:00,0.08249,0.08251,0.7374,False,-22.257,-0.2242,9903.03
long,2026-03-23 00:24:00+00:00,2026-03-23 00:24:00+00:00,0.08363,0.08483,0.735,False,122.2917,1.2349,10025.32
long,2026-03-23 01:20:00+00:00,2026-03-23 01:20:00+00:00,0.08835,0.08843,0.6569,False,-10.9728,-0.1095,10014.35
short,2026-03-23 03:15:00+00:00,2026-03-23 03:15:00+00:00,0.08395,0.08423,0.8262,False,-53.4297,-0.5335,9960.92
short,2026-03-23 07:57:00+00:00,2026-03-23 07:57:00+00:00,0.08561,0.08574,0.6882,False,-35.0476,-0.3519,9925.87
short,2026-03-23 09:10:00+00:00,2026-03-23 09:10:00+00:00,0.08525,0.08508,0.8042,False,-0.0582,-0.0006,9925.81
long,2026-03-24 09:46:00+00:00,2026-03-24 09:46:00+00:00,0.08046,0.08043,0.7502,False,-23.5525,-0.2373,9902.26
long,2026-03-25 07:34:00+00:00,2026-03-25 07:34:00+00:00,0.07653,0.07686,0.7564,False,22.8944,0.2312,9925.15
long,2026-03-25 16:37:00+00:00,2026-03-25 16:37:00+00:00,0.07926,0.07972,0.6861,False,37.7521,0.3804,9962.91
long,2026-03-25 17:45:00+00:00,2026-03-25 17:45:00+00:00,0.08341,0.08286,0.8339,False,-85.6205,-0.8594,9877.29
long,2026-03-26 05:08:00+00:00,2026-03-26 05:08:00+00:00,0.08825,0.08832,0.78,False,-11.9199,-0.1207,9865.37
long,2026-03-26 05:16:00+00:00,2026-03-26 05:16:00+00:00,0.08742,0.08725,0.6854,False,-38.9153,-0.3945,9826.45
