feature,importance
atr14,0.082450934
consec_down,0.026647182
bb_squeeze,0.02491678
volatility_20,0.022224095
roc10,0.018371744
rsi14_norm,0.016047189
williams_r,0.016021438
vol_expand,0.015380941
atr7,0.014742546
ma100_slope,0.014376569
roc5,0.014250626
rsi14,0.013991114
bb_width,0.013936822
dist_high_5,0.013754509
ma100_dist,0.013698209
ma50_dist,0.012955325
bb_lower_dist,0.012951817
ma10_dist,0.012872077
rsi14_delta,0.0128232865
dist_high_20,0.012757792
ma20_slope,0.012255231
day_of_week,0.012234862
macd_fast_hist,0.012218954
volatility_10,0.012097404
mom_10,0.01199154
ma50_slope,0.011955229
dist_low_5,0.0119361505
lower_wick,0.011657189
mom_3,0.011609301
body_size,0.011524252
macd_signal,0.011471994
return_3,0.011389116
pos_20,0.011387143
atr_ratio,0.011359475
ema10_dist,0.011346236
stoch_d,0.011272482
macd_line,0.0112292385
range_atr,0.011115199
rsi7,0.011077494
hour,0.011004333
pos_50,0.010976299
ma10_slope,0.0108737415
dist_low_20,0.010726896
volatility_5,0.010694302
open_pos,0.0106728
bb_upper_dist,0.010611108
dist_ma100,0.010593299
volume_ratio5,0.010578914
cci14_delta,0.010524842
macd_hist_delta,0.010511757
vol_up,0.010499098
minute,0.01036992
volume_delta,0.010332403
return_1,0.010273615
stoch_delta,0.01025354
close_pos,0.0101638315
return_5,0.010137525
ma5_slope,0.010004992
ma5_dist,0.009997966
cci14,0.00999511
macd_hist,0.009937814
return_10,0.009921229
return_2,0.009812438
macd_fast_delta,0.009801503
hl_range,0.00977514
ema5_dist,0.009770908
volume_zscore,0.009636757
ma20_dist,0.009568264
stoch_k,0.009468034
bb_pct,0.0092987195
upper_wick,0.009221638
pos_10,0.009220529
volume_ratio10,0.009175217
pos_5,0.009146833
macd_cross_up,0.008890702
ema20_dist,0.008390215
stoch_os,0.008278221
consec_up,0.007885673
mom_5,0.0067043295
gap,0.0
is_bullish,0.0
macd_cross_down,0.0
rsi_os,0.0
rsi_ob,0.0
above_ma100,0.0
stoch_ob,0.0
