feature,importance
ma100_slope,12
volatility_20,9
macd_hist,8
minute,7
stoch_delta,6
bb_width,6
atr14,6
hour,5
ma100_dist,5
hl_range,4
macd_signal,4
stoch_d,3
volume_zscore,3
vol_up,3
close_pos,3
ma5_slope,3
day_of_week,3
dist_low_20,3
macd_fast_hist,2
macd_fast_delta,2
body_size,2
ma10_slope,2
atr7,2
rsi14,2
volume_ratio10,2
pos_5,2
dist_high_5,2
cci14_delta,2
pos_10,2
ma20_slope,2
dist_ma100,2
volume_delta,1
atr_ratio,1
ma10_dist,1
return_10,1
ma50_dist,1
ma5_dist,1
return_1,1
mom_3,1
dist_low_5,1
pos_20,1
dist_high_20,1
volatility_10,1
vol_expand,1
williams_r,1
stoch_k,1
pos_50,1
volatility_5,1
rsi7,1
bb_pct,1
macd_hist_delta,1
bb_lower_dist,1
ma50_slope,1
return_3,0
consec_down,0
ma20_dist,0
lower_wick,0
upper_wick,0
is_bullish,0
gap,0
open_pos,0
consec_up,0
return_5,0
return_2,0
ema20_dist,0
ema10_dist,0
macd_cross_down,0
macd_line,0
ema5_dist,0
above_ma100,0
range_atr,0
bb_squeeze,0
rsi_os,0
rsi14_delta,0
rsi14_norm,0
rsi_ob,0
bb_upper_dist,0
macd_cross_up,0
volume_ratio5,0
cci14,0
stoch_ob,0
stoch_os,0
roc5,0
mom_10,0
mom_5,0
roc10,0
