feature,importance
volatility_20,6
ma50_slope,5
macd_fast_hist,4
bb_width,4
volatility_10,4
return_3,3
ema10_dist,3
atr14,3
ma100_slope,3
day_of_week,3
cci14,2
range_atr,2
bb_lower_dist,2
volume_zscore,2
ma20_slope,2
ema5_dist,2
rsi14_delta,2
body_size,2
ma5_slope,2
ma10_slope,2
ma50_dist,2
close_pos,2
hour,2
volatility_5,1
atr_ratio,1
bb_upper_dist,1
rsi14,1
minute,1
cci14_delta,1
stoch_d,1
vol_up,1
ma10_dist,1
lower_wick,1
hl_range,1
return_5,1
return_1,1
return_10,1
consec_down,1
macd_line,1
dist_low_20,1
atr7,1
macd_signal,1
rsi14_norm,1
ma100_dist,0
open_pos,0
consec_up,0
return_2,0
ma20_dist,0
ma5_dist,0
upper_wick,0
is_bullish,0
gap,0
macd_hist,0
macd_hist_delta,0
bb_pct,0
bb_squeeze,0
rsi_os,0
rsi_ob,0
rsi7,0
macd_cross_up,0
macd_cross_down,0
macd_fast_delta,0
ema20_dist,0
dist_ma100,0
above_ma100,0
pos_5,0
volume_ratio10,0
volume_ratio5,0
volume_delta,0
vol_expand,0
dist_low_5,0
dist_high_5,0
dist_high_20,0
pos_50,0
pos_10,0
pos_20,0
stoch_ob,0
stoch_k,0
stoch_os,0
williams_r,0
stoch_delta,0
mom_3,0
roc5,0
mom_10,0
mom_5,0
roc10,0
